Square_Feet,Price
1660,207615
4572,634568
3892,576941
1266,135825
4244,545590
3971,537062
3719,480325
930,114104
2485,375055
1569,208762
3191,381270
3233,468020
1984,299278
4185,615660
4917,608556
3704,460828
1274,145743
1882,251830
3358,491874
2847,394203
3547,554328
1775,179087
2606,344259
989,140907
3534,427142
3805,430068
2699,301997
2067,271946
2328,259613
4002,608686
4356,599926
4690,595577
1446,186234
3688,539292
3235,485617
1400,162387
3163,376405
2861,356595
1041,125576
2841,292420
3624,426823
3412,407538
2163,242251
2278,311184
3356,429946
1575,219333
4814,554709
834,116350
3952,522338
2755,335484
2385,367443
4743,624608
3873,472900
1821,244406
4261,493435
3413,434640
4643,744905
2300,237949
961,117315
2781,355373
1795,223484
4142,507354
4598,714522
2075,252480
1816,246889
1137,137362
1678,228187
1876,270209
4793,617742
1179,143157
1292,165566
2862,395030
4684,669797
864,115651
3368,433824
2827,421738
3495,421500
2295,284158
1191,186874
4361,560601
3078,430568
3899,455000
1000,145014
3904,440139
3254,363231
4445,637355
1604,199824
3531,446192
3573,487567
2370,297787
3490,398851
4640,563673
1828,210910
1302,191941
1670,247302
1006,118093
2284,311838
1663,209390
3590,545289
1363,225633
4991,703614
2557,312705
2478,279063
4042,540298
1859,237322
2522,273292
4114,539717
3957,639789
3425,486643
3529,397270
2397,310947
3860,523423
3493,479890
4427,466854
2163,277383
2781,372418
2463,313297
2329,235380
2838,362484
4102,581508
3037,368753
2106,258934
4829,729020
3475,441333
2082,274154
1509,153968
4548,519413
1463,238242
2798,433221
4245,581960
4543,434752
2295,252507
4104,449892
4563,499208
2653,329528
2091,296317
4381,528004
4257,533587
2436,305454
4496,645393
3799,544769
3952,523363
1498,223466
2960,367801
4897,764930
1654,199983
4274,429444
2507,278417
3577,392479
2533,301166
4310,633264
1002,123509
4055,444732
1566,169373
3127,403811
3731,570362
997,132915
2730,393551
4382,596072
1408,150800
4072,566090
1947,219844
4197,519371
3311,394538
2594,333188
1459,184228
3611,448812
2169,272994
2786,373368
946,119064
4019,512064
3711,593324
2534,368933
2643,323827
1288,169501
3776,492489
2759,361979
3185,413050
3719,488334
2602,328433
4861,587120
4169,517715
1062,110405
1423,199826
1816,249212
4443,711653
2849,319279
4523,560608
3908,576448
4890,662024
2856,441175
3970,604011
2482,232194
3055,408944
1954,261718
3991,517463
2496,308213
4791,735089
2448,317247
2245,186213
4999,616684
4723,760722
1053,119246
3983,590531
3357,488903
898,113293
3000,398509
3761,484999
4577,558806
3669,440177
4034,610384
4591,584882
1756,207945
4867,672802
960,130941
2100,226001
4787,576053
2327,243213
2018,339532
3904,486278
3535,423663
1754,214860
4246,503945
1845,234784
2493,370276
4236,556865
1362,148711
3285,370482
4154,550899
1025,120449
1759,223635
3867,656173
1615,185586
3920,424563
816,97019
2043,210454
3005,448621
3324,374317
1869,215664
4244,466833
3365,352063
1860,240269
3127,371276
4220,434362
1101,136982
1406,190491
3970,489779
1499,208344
1939,301471
990,140795
3100,413037
1780,253085
3775,616860
1984,215028
4127,575678
4194,482501
927,123871
2865,315633
2616,369741
1369,183718
2695,410967
3533,444913
4663,584989
4814,604654
3701,617760
2486,346803
3809,571997
954,134385
3337,477956
2209,238291
4857,590622
1584,191157
3975,520272
3606,463181
1337,141568
2641,345031
3255,324889
1324,187540
3750,493347
4931,733142
4915,654642
3168,389867
4647,494238
3501,434411
1771,209304
1966,266537
3574,442044
2782,386903
1653,248458
4946,538069
4536,589502
4569,590697
1374,185096
4061,569757
1948,299634
2515,285095
4654,495272
3291,437135
3460,473129
3924,552518
3851,456665
804,85491
1676,248524
1791,246597
4942,614387
1435,140354
2493,299069
2482,348549
919,125463
