Age,Income,IsStudent,Purchased
56,29234,0,0
46,90172,0,0
32,18376,1,0
60,45783,0,0
25,56249,0,1
38,58025,0,1
56,31447,0,0
36,100865,0,0
40,31713,0,0
28,19858,0,0
28,66115,0,0
41,100008,1,0
53,74834,0,0
57,97060,0,0
41,19539,1,0
20,78983,0,1
39,33857,1,1
19,118898,0,0
41,117207,1,0
61,20364,0,0
47,80985,0,0
55,74169,0,0
19,101366,0,0
38,36078,1,1
50,52574,0,0
29,15869,0,0
39,119383,0,0
61,77624,1,0
42,55075,1,1
44,108676,0,0
59,18659,0,1
45,51370,0,1
33,73185,0,1
32,94921,0,0
64,58751,0,0
61,77758,1,0
20,99873,1,0
54,20131,0,1
24,16358,0,0
38,106150,1,0
26,72371,0,0
56,97307,0,0
35,94139,1,0
21,31246,0,1
42,32216,0,1
31,56209,0,1
26,57987,0,1
43,35577,0,0
19,57320,0,1
37,26301,0,1
45,90051,1,0
64,107338,0,0
24,15891,0,0
61,36972,0,0
25,65457,0,1
64,69435,1,0
52,35932,0,0
31,19192,0,0
34,31128,0,0
53,37836,0,1
57,39837,0,0
21,37778,0,0
19,58130,0,1
23,31708,1,1
59,39232,1,1
21,72266,1,1
46,54412,1,0
35,19782,1,0
43,76196,1,1
61,41315,0,0
51,25052,0,0
27,34521,1,1
53,84434,0,0
31,97755,0,0
48,84690,0,1
65,50546,0,0
32,94345,0,0
25,40972,0,0
31,119713,0,0
40,93059,1,0
57,79385,1,1
38,117617,1,0
33,37030,1,0
62,55376,0,0
35,100641,0,0
64,104831,0,0
41,92400,1,0
43,93412,0,0
42,33055,1,0
62,114220,0,0
58,102508,1,0
46,40493,0,0
32,89861,1,1
62,51775,0,1
18,66057,0,0
42,100909,0,0
24,51253,1,0
26,101717,0,0
41,66884,1,1
18,91497,1,0
61,32705,1,0
25,59676,0,1
41,116658,0,0
28,106640,0,0
34,94045,1,0
25,22101,1,1
52,77495,1,1
52,19743,0,0
50,23951,0,1
22,22014,1,1
59,51180,0,0
56,71977,1,0
58,74534,0,0
45,78209,0,1
24,56908,1,1
26,65918,0,0
25,23219,0,1
29,22163,1,1
51,17470,0,0
50,31543,1,1
65,34276,1,0
40,51881,0,1
41,93950,0,0
54,22749,0,0
52,39182,0,0
61,92450,0,0
57,95543,1,0
39,111487,0,0
44,113144,0,0
52,36383,0,1
18,93578,0,0
52,40412,0,1
54,28181,1,0
64,59898,0,0
31,74630,0,1
20,18405,0,1
18,111404,0,0
22,25862,0,0
43,69679,1,1
31,43688,0,1
56,63017,0,1
44,111481,0,0
26,27939,0,1
32,109467,0,0
32,119152,0,0
43,54585,0,1
59,119447,0,0
30,37942,0,0
49,20272,0,1
56,59134,0,1
49,39265,1,0
21,63192,0,0
47,43668,1,0
54,96560,0,0
40,112435,0,0
56,84283,0,1
62,24297,1,1
32,79005,0,1
60,73434,0,0
46,79749,0,0
53,16607,0,0
30,74183,0,1
49,101994,0,0
24,71305,0,1
39,42973,0,1
45,38117,0,0
19,96986,0,0
59,96071,0,0
62,109891,0,0
23,22645,0,1
45,57238,0,1
45,84694,0,0
61,56773,0,0
61,31786,0,0
37,55693,0,1
47,111447,0,0
