year,mileage,engine_size,price
2017,7521,4.3,2000.0
2018,195641,2.3,17988.09
2011,123815,1.2,7902.7
2017,11349,1.0,2000.0
2019,32768,4.4,9077.96
2016,95168,4.9,20205.55
2005,62985,1.5,2000.0
2007,7611,1.2,13413.79
2022,19012,4.7,7933.86
2012,49725,1.4,2000.0
2006,1548,1.9,12722.39
2008,90297,4.2,2000.0
2022,145060,5.0,2000.0
2017,94729,2.9,21456.18
2019,192258,1.8,4474.97
2006,14497,4.4,4817.88
2014,130337,2.6,2000.0
2006,150948,2.1,2000.0
2016,157891,3.0,2881.12
2009,138911,4.4,2000.0
2016,38457,1.9,2793.53
2005,116584,2.7,2000.0
2006,117143,2.8,2000.0
2020,108296,4.3,13471.78
2006,128919,3.7,23767.79
2020,61976,4.1,11420.92
2020,10275,3.8,17749.87
2010,38151,3.4,5884.21
2017,34173,1.5,21053.73
2016,93800,4.3,16831.04
2014,43612,3.4,5595.84
2009,15960,3.8,2000.0
2012,4538,4.1,4968.12
2010,50338,2.2,2000.0
2009,28709,2.7,15617.48
2010,133211,3.2,2000.0
2021,166518,2.4,3919.77
2010,167634,2.0,2000.0
2021,150175,4.1,9169.54
2009,47204,4.0,2000.0
2021,24432,4.3,20500.88
2021,168442,3.8,2000.0
2017,125211,2.2,2000.0
2011,151413,2.3,2638.62
2010,6069,3.1,2000.0
2018,144365,4.3,11750.14
2020,98582,2.4,9938.08
2007,100895,4.1,2000.0
2013,123529,2.2,2000.0
2019,130640,2.4,2000.0
2022,158626,4.0,33417.69
2014,98658,3.7,2000.0
2014,113982,1.8,15801.39
2007,84162,4.3,3550.53
2005,37667,4.1,10041.73
2007,51632,4.2,5931.71
2009,98861,2.9,21129.41
2011,46106,2.3,26703.51
2007,69022,4.4,4120.16
2008,82081,3.4,17892.19
2021,130891,4.7,14608.81
2007,88164,2.0,21759.32
2008,115386,4.9,2000.0
2006,108469,2.5,2000.0
2018,69080,2.5,3449.85
2009,85697,2.0,2000.0
2006,166045,4.9,2000.0
2019,18376,1.2,2000.0
2015,129942,2.9,2000.0
2014,50184,2.5,13197.99
2005,60854,1.6,7912.9
2023,87936,3.9,10438.77
2018,70455,4.6,23088.55
2018,186198,2.0,5074.72
2005,116521,3.0,4016.55
2013,77934,3.3,2000.0
2021,88904,2.6,17610.29
2018,153802,4.7,29880.05
2017,18167,2.8,4009.6
2017,185408,4.9,18500.95
2010,63178,2.2,12290.0
2011,17568,1.3,16323.94
2006,72369,3.3,5641.02
2012,59657,4.3,2000.0
2010,571,2.6,2000.0
2007,168140,1.7,2000.0
2022,20122,4.0,8951.41
2022,131655,2.1,2000.0
2010,122011,4.1,13139.38
2015,192961,2.0,2429.43
2007,188477,3.2,2000.0
2020,153035,4.6,11724.1
2009,102874,1.8,2000.0
2006,28364,4.3,2000.0
2019,71227,2.1,12121.65
2020,75861,3.6,26002.49
2011,89950,2.0,11186.6
2020,5126,1.5,10030.53
2008,92144,3.7,2000.0
2020,3762,3.4,15908.07
2021,2786,2.6,24785.65
2006,67078,1.1,2000.0
2020,116363,2.9,17102.27
2008,78349,1.6,2034.25
2011,147489,2.4,2000.0
2022,192377,3.3,5452.16
2010,16294,4.8,3759.83
2022,68335,3.0,2000.0
2011,122184,1.8,19825.38
2006,72459,4.8,14249.86
2023,50209,1.1,2000.0
2013,6938,3.6,24548.09
2008,122285,2.0,2000.0
2018,104875,4.0,18905.85
2009,174993,2.3,7402.88
2011,135460,2.7,2000.0
2012,68163,4.1,2000.0
2019,7247,4.6,15028.34
2023,22575,1.7,28559.63
2015,20146,2.2,23789.36
2008,22371,1.0,2000.0
2022,92243,4.4,4151.88
2018,107102,4.8,37559.08
2010,51507,2.1,2000.0
2020,26875,2.5,19873.75
2022,13792,2.7,11186.49
2005,179795,2.6,2509.35
2012,83253,2.6,2728.06
2005,85928,2.9,2000.0
2005,84393,1.6,2000.0
2023,71679,1.2,2000.0
2014,191973,3.9,12228.52
2022,149542,4.4,24047.34
2016,19734,4.2,22000.63
2021,144175,3.5,2724.55
2005,47728,4.9,13542.84
2012,90487,1.0,2000.0
2014,198560,2.3,2000.0
2014,167550,2.2,7054.79
2022,181917,2.4,5391.23
2013,30766,4.2,17413.2
2006,175587,2.4,2000.0
2007,45240,3.1,13295.92
2006,162360,3.5,2000.0
2010,67310,4.4,18259.78
2016,115261,3.5,2000.0
2023,37432,2.5,14394.48
2019,120050,3.8,16163.47
2023,104775,3.1,15270.29
2016,22497,3.1,27421.51
2022,28283,2.3,27884.98
2020,112597,1.0,2000.0
2006,172184,2.4,4750.78
2015,172760,2.2,2000.0
2016,112039,1.4,2000.0
2009,75280,1.8,8341.83
2010,69199,4.9,11318.22
2015,191983,2.1,11737.71
2014,12463,3.1,5478.75
2008,88614,3.2,2000.0
2013,169981,3.2,5986.83
2016,137232,1.2,2000.0
2014,110840,4.1,12570.94
2018,27682,3.9,18540.77
