brand,year,mileage,engine_size,price
Nissan,2015,17021,2.2,28086
Hyundai,2021,74650,3.0,34336
Kia,2022,73120,2.9,10001
Chevrolet,2023,14740,2.5,11535
Nissan,2014,149391,3.3,14184
BMW,2016,91391,2.1,30533
Ford,2022,141314,2.7,14116
Nissan,2021,51169,3.8,29628
Kia,2014,68711,3.3,40809
Chevrolet,2020,58504,2.4,29026
Hyundai,2010,84630,2.8,11130
Kia,2021,119481,2.5,39352
Kia,2018,110619,1.7,24652
Ford,2012,119050,2.3,30257
Mazda,2011,17988,3.6,13821
Chevrolet,2019,83734,2.6,8146
Honda,2015,20995,2.9,23240
Kia,2017,109484,1.9,25684
Mazda,2011,145948,2.3,7593
Honda,2013,23537,3.8,26856
Chevrolet,2011,60160,2.2,16188
Toyota,2021,93295,2.1,30931
BMW,2021,131097,1.5,38543
Mazda,2018,141350,1.7,35084
Volkswagen,2019,15031,2.9,26119
Toyota,2022,67745,3.1,38502
BMW,2011,95389,3.1,7114
Ford,2019,91140,2.8,38941
Nissan,2011,110891,2.7,34829
Hyundai,2023,96455,1.6,14428
Volkswagen,2022,79442,3.6,32256
Ford,2014,113001,2.7,31812
Chevrolet,2021,56866,1.7,22625
Ford,2014,71883,1.8,25224
Nissan,2021,60237,2.7,15450
Chevrolet,2016,29553,2.0,17630
Volkswagen,2010,140940,3.8,40303
Nissan,2021,101441,2.7,14185
Honda,2011,140032,3.9,31946
Hyundai,2020,146016,3.3,42357
Volkswagen,2020,119147,3.5,39726
Honda,2015,120796,2.4,30551
BMW,2011,89599,1.7,23434
Volkswagen,2013,141832,3.2,40353
BMW,2019,112407,2.5,12620
Chevrolet,2015,121784,3.9,20286
Honda,2022,130893,1.9,37770
Hyundai,2021,38126,3.0,7843
Nissan,2016,35961,3.7,6267
Kia,2019,19088,2.4,7474
Ford,2014,143308,3.9,27020
Toyota,2017,108975,1.6,17117
Hyundai,2015,59967,2.9,15860
Honda,2014,92684,3.4,31687
Kia,2013,108278,1.9,22114
Hyundai,2015,56454,1.6,34992
Honda,2015,38843,1.6,40581
Mazda,2015,19433,2.2,42960
Mazda,2010,41245,2.0,22347
BMW,2015,87922,2.0,16385
Hyundai,2010,126074,2.6,8386
Mazda,2014,129407,1.6,11879
Honda,2016,19702,4.0,7497
BMW,2010,106125,3.2,18039
Honda,2022,49185,1.5,34476
BMW,2010,97393,3.2,7803
Hyundai,2022,79222,3.5,16825
Kia,2022,129018,1.9,6217
Nissan,2015,7416,3.6,5525
Volkswagen,2016,129236,3.0,12566
Kia,2015,96265,3.5,38048
Chevrolet,2014,122937,3.3,26961
Honda,2015,125003,3.2,24803
Chevrolet,2022,5207,1.8,41591
Kia,2023,81382,2.2,39489
BMW,2012,111968,2.8,44289
Volkswagen,2018,26511,1.7,23167
Volkswagen,2014,134633,2.6,35135
Toyota,2011,107660,2.6,30076
Volkswagen,2023,142096,2.0,18197
Nissan,2023,110909,1.9,21467
Volkswagen,2021,27759,2.0,16532
Kia,2019,97260,3.0,13225
Toyota,2019,66586,2.5,8799
Kia,2016,146869,2.5,24828
Kia,2012,64727,1.9,44734
Ford,2010,95557,3.4,25439
Toyota,2012,106085,3.2,10252
Kia,2018,47500,2.5,8032
Ford,2014,114266,1.8,42930
Ford,2016,24986,3.3,9199
Toyota,2012,45694,3.7,18328
Chevrolet,2013,117100,1.9,20448
BMW,2010,76036,3.0,37233
Nissan,2012,34666,2.5,30412
BMW,2016,141474,1.6,14769
Volkswagen,2013,42549,3.3,28438
Nissan,2011,132910,1.6,27464
Volkswagen,2023,114433,3.2,44614
Kia,2014,17099,2.1,24511
Honda,2014,119159,2.9,32306
Toyota,2011,116882,1.8,33241
Nissan,2020,27097,2.4,10313
Nissan,2015,75719,1.7,39677
Kia,2019,54094,2.6,13260
Chevrolet,2013,101596,2.0,15536
Ford,2023,21696,1.9,24642
Kia,2010,13354,1.7,31673
Mazda,2012,26880,3.4,12325
Ford,2023,113061,3.1,6149
Toyota,2018,86296,1.8,33377
Ford,2019,75304,2.6,29888
Chevrolet,2016,28951,3.1,44811
Ford,2022,118548,3.7,17549
Toyota,2015,23326,1.6,22004
Chevrolet,2023,38007,2.3,21977
BMW,2010,44232,3.0,32472
Nissan,2018,38439,1.4,19816
Nissan,2022,56771,2.0,38379
Volkswagen,2018,40229,3.3,35314
BMW,2010,56258,2.3,18144
BMW,2023,25532,1.6,19668
Ford,2022,77312,3.0,15159
Nissan,2022,145406,2.1,31654
Toyota,2015,124069,3.2,32579
Hyundai,2016,129945,3.7,12723
Hyundai,2011,33484,2.8,15646
Chevrolet,2019,33831,3.0,18799
Nissan,2017,34205,2.7,17928
Nissan,2017,77590,3.5,23311
Hyundai,2015,133609,2.0,25091
Nissan,2018,146440,2.4,8360
Ford,2012,26435,3.7,12886
Mazda,2011,119426,3.3,24259
Honda,2011,149466,2.2,6577
BMW,2015,105159,3.6,42065
Volkswagen,2016,133117,2.0,44483
Chevrolet,2015,119623,3.0,41201
Mazda,2020,101284,3.9,37653
Hyundai,2012,123117,2.9,37050
BMW,2014,59428,3.5,36730
Nissan,2017,14880,3.3,40192
Volkswagen,2015,93376,3.7,37666
Nissan,2011,142586,3.9,21917
Toyota,2016,42668,1.5,18785
Toyota,2017,50369,1.5,12615
Volkswagen,2013,54179,2.9,8454
Volkswagen,2021,53069,3.9,26527
Hyundai,2010,71565,2.7,16805
Volkswagen,2011,39764,3.6,16344
Ford,2013,53461,3.4,35614
Nissan,2016,38142,2.7,41640
Mazda,2011,49329,2.7,39273
Kia,2015,139117,2.5,15482
Volkswagen,2011,34713,2.1,20002
Chevrolet,2021,84374,3.6,14533
Toyota,2016,27659,1.9,6758
Ford,2011,142424,3.8,39712
BMW,2012,93566,2.3,26953
Kia,2018,103582,1.5,22939
Mazda,2022,46747,1.8,6602
Kia,2013,34623,3.7,23937
Volkswagen,2023,22716,1.7,13767
Hyundai,2014,148636,3.3,5869
Toyota,2018,24531,1.9,39093
Toyota,2016,45760,2.7,27971
BMW,2017,8449,1.9,9247
Hyundai,2020,103736,2.3,11050
Nissan,2012,38777,1.7,24990
Honda,2020,12279,2.8,32143
Ford,2020,10191,2.4,10333
Toyota,2013,79044,2.4,25111
Chevrolet,2016,10307,1.5,29517
Toyota,2013,140288,1.8,10606
Kia,2011,110100,3.2,15172
Toyota,2023,145199,2.2,20347
Toyota,2019,90438,2.5,25222
Honda,2015,115283,3.4,14534
Honda,2018,5495,2.6,30480
Mazda,2011,74128,2.0,15054
Nissan,2010,72768,2.8,42487
Chevrolet,2017,45816,3.5,17056
Toyota,2010,85203,3.0,21919
Toyota,2010,18000,2.5,20398
Ford,2012,142791,1.7,38454
Honda,2014,74981,2.0,25156
Chevrolet,2022,52941,3.9,44524
BMW,2021,105671,3.4,13929
Mazda,2018,44323,1.6,40681
Nissan,2020,147491,1.4,22171
Hyundai,2019,31403,1.9,22156
Nissan,2011,33298,3.9,29811
Kia,2021,42365,2.9,12546
Toyota,2021,94573,3.6,21061
Mazda,2010,77771,2.6,38457
Kia,2010,66966,3.5,12955
Chevrolet,2017,43056,1.5,26972
Hyundai,2019,61965,2.5,10267
Honda,2019,117618,2.4,30349
Mazda,2019,69237,4.0,35380
Mazda,2011,147267,2.2,29726
Toyota,2022,68539,2.5,34592
Volkswagen,2018,91315,3.4,33675
Mazda,2018,81202,3.7,31041
Ford,2011,90915,3.7,41787
Hyundai,2012,36709,2.4,9211
Hyundai,2011,119439,3.9,10986
Ford,2015,128000,3.1,40355
BMW,2016,45537,3.6,32635
Ford,2021,130981,3.8,41240
Ford,2015,35949,2.0,26883
Hyundai,2012,118290,2.7,25512
Nissan,2021,63529,2.9,28356
Hyundai,2012,68371,3.5,10084
Volkswagen,2021,55607,2.4,15096
Toyota,2011,55366,1.9,7060
Kia,2011,34871,3.3,12463
Nissan,2020,67284,2.9,24709
Honda,2021,113043,3.7,42222
Kia,2014,141762,3.1,38590
Toyota,2020,70116,1.4,23445
Volkswagen,2020,132086,3.9,32911
Volkswagen,2017,146105,2.9,29735
Honda,2015,78583,2.9,22290
Nissan,2018,9902,3.8,24170
BMW,2020,127793,3.1,37068
Ford,2014,137568,2.6,36788
Nissan,2019,66263,1.7,19788
BMW,2013,32664,3.9,36553
Volkswagen,2018,47203,1.6,32289
Hyundai,2021,9582,1.8,44709
Toyota,2019,34482,3.5,9428
Honda,2020,46476,2.7,36611
Toyota,2023,36872,1.9,6573
Chevrolet,2014,87754,2.1,16248
Chevrolet,2010,55716,4.0,15343
Nissan,2014,100363,2.9,41018
Volkswagen,2014,118195,2.4,34070
Volkswagen,2014,102143,3.7,39109
Ford,2022,32005,2.6,26088
Ford,2011,36475,2.2,7077
Ford,2022,38683,1.8,9529
Hyundai,2015,81810,3.3,22414
Kia,2014,51049,3.0,23214
Mazda,2011,104483,1.6,10564
Kia,2021,128045,2.9,30290
Toyota,2019,117177,1.8,10028
Kia,2023,35288,4.0,28860
Hyundai,2017,117880,2.1,13781
Toyota,2015,128060,3.2,24094
Kia,2020,96428,3.1,26881
Hyundai,2019,125800,3.2,13378
Mazda,2021,30682,2.5,14243
Kia,2020,72125,1.6,14559
Hyundai,2012,89406,3.9,9786
Ford,2018,79215,1.9,23129
Volkswagen,2022,144875,3.4,32843
Ford,2020,57572,1.8,33886
Volkswagen,2020,124896,2.1,12880
Honda,2023,65538,2.9,11258
Honda,2013,112893,2.5,9898
Honda,2012,110518,3.9,30738
Mazda,2016,48153,3.6,42942
Ford,2021,53657,3.8,30169
Volkswagen,2022,145601,3.1,40353
Hyundai,2023,53208,2.0,30085
Toyota,2017,80928,2.7,24952
Hyundai,2016,122555,3.4,8609
Toyota,2010,140655,1.6,5312
Chevrolet,2010,31690,3.6,16485
Hyundai,2022,146400,3.0,25046
Kia,2014,92174,3.3,37750
Kia,2023,21238,3.2,12208
Nissan,2017,61235,3.6,27516
Ford,2023,133596,1.6,35098
Toyota,2019,21761,2.4,39559
Toyota,2020,147248,2.7,33705
Ford,2012,109245,2.8,18157
Mazda,2017,104450,3.9,32048
Nissan,2012,53329,1.5,29407
Mazda,2013,30639,3.7,41817
Mazda,2019,118733,2.8,22993
Mazda,2016,37657,2.8,42379
Ford,2012,43217,2.2,42822
Mazda,2013,88383,3.1,18332
Kia,2017,22900,3.1,18119
Honda,2013,16242,1.9,35873
Chevrolet,2018,101609,3.2,20205
Toyota,2013,69930,2.1,11094
Toyota,2022,98722,3.2,34591
Chevrolet,2023,130272,3.0,14737
Ford,2013,126208,3.3,20824
Hyundai,2022,18606,1.5,13223
Ford,2014,12421,1.7,7632
Toyota,2010,60729,3.6,11376
Toyota,2016,7548,2.4,42262
Chevrolet,2018,12252,3.6,28042
Mazda,2021,83385,1.6,37871
Ford,2018,117131,3.4,11178
Volkswagen,2010,126328,1.6,38394
Chevrolet,2015,142817,2.6,44221
Kia,2012,43049,3.8,36436
Toyota,2013,145712,1.6,31009
Chevrolet,2017,133956,2.3,34266
Ford,2013,112118,2.7,12521
Toyota,2017,58568,3.7,43690
Hyundai,2013,71045,2.3,17955
Chevrolet,2018,77351,3.5,21124
Nissan,2015,112560,3.3,8696
Toyota,2010,63312,2.2,21762
Ford,2022,47398,2.3,24599
Honda,2019,65865,1.9,33591
Volkswagen,2011,107175,3.2,25722
BMW,2016,125201,2.9,8920
Mazda,2019,83812,1.8,22099
BMW,2016,110468,3.0,40733
Ford,2012,139572,2.7,18323
Kia,2010,56351,1.6,8641
Kia,2017,148618,3.9,28334
Honda,2022,45526,3.6,26253
Mazda,2022,109374,1.6,32655
Nissan,2019,5229,3.8,43454
Honda,2023,36879,3.8,30949
BMW,2020,101654,1.5,11204
Honda,2020,140789,1.9,24709
BMW,2019,83771,3.2,7386
Toyota,2016,10189,3.8,12005
Kia,2019,132029,3.5,27488
Toyota,2017,91859,2.1,40119
Volkswagen,2010,126383,1.5,40434
Mazda,2023,82508,2.6,43263
Nissan,2012,110498,1.6,11427
BMW,2022,137937,2.0,16297
Nissan,2011,126389,3.1,20672
BMW,2010,140612,2.7,16842
Ford,2014,84132,2.4,13671
Honda,2012,85922,3.8,11762
Volkswagen,2019,69761,1.9,44843
Kia,2017,62276,2.7,13834
BMW,2015,108793,2.9,35553
Nissan,2019,109389,2.2,21329
Volkswagen,2023,74721,3.2,28615
Hyundai,2018,41994,3.7,8687
Hyundai,2018,95016,2.8,20302
Toyota,2020,123569,3.4,42945
Kia,2015,12692,1.6,21213
Ford,2011,131728,1.8,18875
Nissan,2018,139229,2.6,18578
Honda,2011,84241,3.8,36620
Honda,2012,90016,2.8,30925
Nissan,2015,97235,2.5,35278
Mazda,2011,100106,3.0,44279
Ford,2014,17793,1.7,5590
Volkswagen,2011,91169,3.1,35088
BMW,2021,133929,1.6,28531
Mazda,2013,20637,2.9,30259
BMW,2020,90331,3.3,15901
BMW,2020,99058,2.5,28349
Mazda,2012,79774,3.8,39740
Toyota,2014,135479,1.8,21317
