OrderID,Product,Category,Quantity,Price,Region,OrderDate
1000,Smartphone,Electronics,1,343.93,East Coast,2024-09-23
1001,Coffee Mug,Home,1,661.17,Northeast,2024-11-07
1002,Sneakers,Apparel,4,187.69,Northeast,2024-06-24
1003,Smartphone,Electronics,2,682.33,East Coast,2024-11-23
1004,Backpack,Accessories,1,709.45,Northeast,2025-01-08
1005,Book,Books,5,637.68,West Coast,2024-07-31
1006,Notebook,Stationery,4,124.36,South,2025-02-22
1007,Coffee Mug,Home,3,401.42,Northeast,2025-04-19
1008,Notebook,Stationery,1,873.9,Northeast,2025-04-16
1009,Sneakers,Apparel,5,207.43,Northeast,2025-05-10
1010,Laptop,Electronics,3,110.65,Northeast,2024-06-30
1011,Blender,Home,2,951.13,East Coast,2024-11-14
1012,Laptop,Electronics,4,512.13,Midwest,2025-05-30
1013,T-Shirt,Apparel,3,167.03,Midwest,2025-06-10
1014,Book,Books,4,105.1,Midwest,2025-03-18
1015,Blender,Home,4,417.34,Midwest,2025-02-16
1016,Headphones,Electronics,2,252.08,West Coast,2025-04-22
1017,Coffee Mug,Home,4,591.0,Northeast,2025-01-30
1018,Book,Books,2,236.72,West Coast,2025-02-07
1019,Smartphone,Electronics,4,850.37,South,2025-03-24
1020,Smartphone,Electronics,4,441.47,Northeast,2025-06-20
1021,Sneakers,Apparel,3,357.43,East Coast,2025-03-29
1022,Headphones,Electronics,3,817.29,Midwest,2025-03-25
1023,Smartphone,Electronics,5,23.75,Northeast,2025-06-04
1024,Backpack,Accessories,1,579.36,West Coast,2025-01-18
1025,Backpack,Accessories,4,998.9,Midwest,2025-01-13
1026,Headphones,Electronics,2,570.17,East Coast,2025-02-28
1027,Headphones,Electronics,4,538.62,Midwest,2025-03-12
1028,Laptop,Electronics,1,120.8,West Coast,2024-12-02
1029,T-Shirt,Apparel,1,771.67,South,2025-05-19
1030,Blender,Home,5,459.03,Midwest,2024-07-11
1031,Backpack,Accessories,2,621.56,Northeast,2025-03-26
1032,Blender,Home,4,803.3,West Coast,2025-01-08
1033,Headphones,Electronics,5,526.89,Midwest,2024-11-03
1034,Sneakers,Apparel,1,616.92,Northeast,2024-12-25
1035,Backpack,Accessories,3,492.55,West Coast,2025-04-28
1036,Laptop,Electronics,1,415.33,East Coast,2025-05-31
1037,Notebook,Stationery,5,171.15,Midwest,2025-06-11
1038,Backpack,Accessories,2,202.29,Midwest,2025-06-06
1039,Headphones,Electronics,1,317.17,South,2024-10-02
1040,Notebook,Stationery,5,825.34,South,2025-01-08
1041,Book,Books,3,657.99,Midwest,2025-01-02
1042,Notebook,Stationery,3,151.83,South,2025-03-17
1043,Laptop,Electronics,5,458.65,East Coast,2025-06-15
1044,Backpack,Accessories,2,408.98,Northeast,2024-10-29
1045,Laptop,Electronics,3,284.83,Northeast,2025-01-15
1046,Backpack,Accessories,2,318.95,Midwest,2024-07-05
1047,Blender,Home,1,55.5,South,2025-01-19
1048,Sneakers,Apparel,1,591.92,South,2025-06-09
1049,T-Shirt,Apparel,3,904.48,Midwest,2025-03-02
1050,Coffee Mug,Home,4,871.81,East Coast,2024-10-31
1051,Smartphone,Electronics,2,196.54,Midwest,2025-05-27
1052,Smartphone,Electronics,1,257.89,West Coast,2024-09-11
1053,Book,Books,1,790.21,South,2025-05-14
1054,Book,Books,5,745.66,South,2025-03-30
1055,Headphones,Electronics,2,521.66,Northeast,2024-12-06
1056,Backpack,Accessories,5,130.2,South,2025-03-10
1057,Notebook,Stationery,4,493.06,East Coast,2025-03-20
1058,Smartphone,Electronics,5,378.47,Northeast,2025-04-11
1059,T-Shirt,Apparel,2,453.77,West Coast,2025-01-21
1060,Notebook,Stationery,2,97.15,West Coast,2025-02-09
1061,Smartphone,Electronics,4,435.22,South,2024-07-11
1062,Blender,Home,1,761.79,East Coast,2024-10-12
1063,Headphones,Electronics,2,856.41,Northeast,2025-05-06
1064,Laptop,Electronics,3,184.86,Midwest,2024-07-27
1065,Smartphone,Electronics,4,11.12,West Coast,2025-03-19
1066,Blender,Home,4,184.18,South,2024-11-22
1067,Laptop,Electronics,3,106.39,Midwest,2025-05-28
1068,Laptop,Electronics,5,227.06,West Coast,2025-02-11
1069,Headphones,Electronics,3,409.19,Midwest,2025-01-26
1070,Laptop,Electronics,3,855.9,Northeast,2025-03-14
1071,Book,Books,2,928.53,Midwest,2025-03-16
1072,Smartphone,Electronics,5,547.42,Northeast,2025-05-15
1073,Coffee Mug,Home,3,405.32,West Coast,2024-08-09
1074,Blender,Home,4,67.12,South,2024-12-04
1075,Blender,Home,1,387.37,West Coast,2024-07-22
1076,Coffee Mug,Home,2,8.67,East Coast,2025-05-15
1077,Smartphone,Electronics,3,315.71,Midwest,2024-09-08
1078,Smartphone,Electronics,1,609.84,South,2024-08-24
1079,Backpack,Accessories,4,972.1,Northeast,2024-10-14
1080,Laptop,Electronics,1,44.16,Northeast,2024-08-29
1081,Backpack,Accessories,4,839.25,Northeast,2024-10-14
1082,Notebook,Stationery,2,173.3,Northeast,2025-03-25
1083,Coffee Mug,Home,5,249.66,Northeast,2024-09-17
1084,T-Shirt,Apparel,1,717.73,Northeast,2024-10-06
1085,Headphones,Electronics,5,330.44,South,2025-02-13
1086,Notebook,Stationery,2,145.76,West Coast,2024-07-19
1087,Headphones,Electronics,4,50.82,South,2024-06-23
1088,Laptop,Electronics,2,423.24,South,2024-10-30
1089,T-Shirt,Apparel,1,970.08,South,2025-03-14
1090,Blender,Home,1,921.72,South,2025-05-26
1091,T-Shirt,Apparel,2,207.48,East Coast,2024-09-05
1092,Laptop,Electronics,2,809.76,Midwest,2025-01-25
1093,Headphones,Electronics,5,714.5,Midwest,2024-07-26
1094,Smartphone,Electronics,5,267.74,East Coast,2025-05-06
1095,T-Shirt,Apparel,2,455.49,Midwest,2024-11-19
1096,Backpack,Accessories,1,210.37,West Coast,2025-02-18
1097,Laptop,Electronics,3,98.89,Northeast,2025-02-28
1098,Coffee Mug,Home,3,395.28,West Coast,2025-04-03
1099,Backpack,Accessories,1,103.25,East Coast,2025-03-21
1100,Smartphone,Electronics,1,787.14,South,2025-06-13
1101,Coffee Mug,Home,4,507.0,West Coast,2024-08-11
1102,T-Shirt,Apparel,2,798.09,Northeast,2024-08-15
1103,Blender,Home,2,659.37,West Coast,2024-09-13
1104,Coffee Mug,Home,1,582.41,South,2025-02-19
1105,Notebook,Stationery,5,287.45,South,2025-04-24
1106,Laptop,Electronics,1,493.28,Northeast,2024-09-17
1107,Notebook,Stationery,2,392.23,Midwest,2024-10-13
1108,Sneakers,Apparel,1,916.91,Northeast,2025-05-03
1109,T-Shirt,Apparel,5,337.47,East Coast,2024-12-24
1110,Notebook,Stationery,1,565.76,South,2024-11-01
1111,Book,Books,5,358.73,South,2025-03-05
1112,Smartphone,Electronics,5,523.36,Northeast,2025-03-12
1113,Coffee Mug,Home,5,574.66,West Coast,2024-11-10
1114,Blender,Home,5,144.62,South,2024-07-03
1115,Backpack,Accessories,5,435.18,Midwest,2024-10-30
1116,Smartphone,Electronics,4,150.68,South,2024-10-10
1117,Headphones,Electronics,1,759.09,Midwest,2025-03-04
1118,Coffee Mug,Home,5,38.97,West Coast,2024-11-18
1119,Headphones,Electronics,5,531.51,South,2024-11-19
1120,Coffee Mug,Home,4,768.73,Northeast,2024-10-16
1121,Sneakers,Apparel,4,900.13,Midwest,2025-04-24
1122,Backpack,Accessories,4,275.87,East Coast,2025-01-25
1123,T-Shirt,Apparel,3,756.64,West Coast,2024-10-05
1124,Blender,Home,4,16.34,South,2025-05-16
1125,Smartphone,Electronics,4,575.29,South,2024-11-30
1126,Notebook,Stationery,2,615.97,South,2024-12-17
1127,Book,Books,2,966.66,Northeast,2025-03-20
1128,Laptop,Electronics,5,105.84,East Coast,2024-08-04
1129,Smartphone,Electronics,1,621.77,West Coast,2024-09-10
1130,Sneakers,Apparel,5,796.29,Northeast,2024-06-25
1131,Blender,Home,2,998.19,South,2024-08-28
1132,Coffee Mug,Home,3,886.97,South,2025-01-23
1133,Smartphone,Electronics,5,953.83,South,2025-04-11
1134,Laptop,Electronics,3,798.43,Midwest,2024-09-09
1135,Backpack,Accessories,5,485.12,South,2025-03-20
1136,Notebook,Stationery,5,277.84,West Coast,2024-07-07
1137,Book,Books,2,536.43,South,2025-04-23
1138,Smartphone,Electronics,2,996.49,East Coast,2025-06-08
1139,Coffee Mug,Home,4,109.04,South,2025-05-14
1140,Notebook,Stationery,3,856.33,Midwest,2024-11-19
1141,Smartphone,Electronics,3,604.43,West Coast,2024-07-20
1142,Headphones,Electronics,3,750.8,West Coast,2024-11-03
1143,Laptop,Electronics,2,717.59,East Coast,2025-05-26
1144,Headphones,Electronics,2,627.25,Midwest,2024-12-21
1145,Laptop,Electronics,2,88.06,South,2024-09-12
1146,Sneakers,Apparel,5,325.05,West Coast,2024-06-26
1147,Laptop,Electronics,5,747.02,West Coast,2025-05-28
1148,Blender,Home,4,881.48,South,2025-01-28
1149,Laptop,Electronics,2,941.02,South,2025-02-12
1150,Coffee Mug,Home,2,737.75,South,2024-10-09
1151,Backpack,Accessories,5,635.8,Midwest,2025-06-05
1152,T-Shirt,Apparel,5,335.38,Midwest,2024-11-21
1153,Coffee Mug,Home,5,49.54,Northeast,2025-01-20
1154,Coffee Mug,Home,2,911.9,Midwest,2024-10-28
1155,Headphones,Electronics,4,364.12,Midwest,2025-05-11
1156,Headphones,Electronics,3,664.81,East Coast,2025-03-14
1157,Backpack,Accessories,4,318.81,East Coast,2024-10-30
1158,T-Shirt,Apparel,3,976.74,Northeast,2025-01-28
1159,Laptop,Electronics,5,60.56,Northeast,2025-02-08
1160,Sneakers,Apparel,3,642.86,Northeast,2025-01-13
1161,Smartphone,Electronics,3,979.24,West Coast,2025-01-03
1162,Headphones,Electronics,4,499.65,Midwest,2025-01-03
1163,Blender,Home,2,876.97,Northeast,2025-01-18
1164,Blender,Home,2,57.08,Midwest,2024-10-07
1165,Headphones,Electronics,5,757.62,Northeast,2025-05-24
1166,Blender,Home,4,669.1,Midwest,2025-03-22
