EmployeeID,Department,ExperienceYears,Salary
101,Engineering,1.4,88024
102,Marketing,11.3,85741
103,Sales,1.4,46140
104,Finance,9.4,96781
105,Finance,6.9,89439
106,Engineering,11.6,80463
107,HR,4.9,59110
108,HR,2.4,69898
109,HR,9.5,47847
110,Finance,2.7,84807
111,HR,12.6,68700
112,Engineering,1.6,84935
113,Engineering,13.0,76619
114,Sales,9.9,63909
115,HR,3.9,62496
116,Engineering,9.5,81215
117,Marketing,3.3,74867
118,Finance,4.1,81252
119,Engineering,4.2,72103
120,Sales,4.7,53826
121,Finance,13.3,80622
122,Sales,6.5,82129
123,HR,3.0,62219
124,Sales,13.6,66175
125,Marketing,8.1,55957
126,Engineering,3.1,80484
127,Sales,9.3,65216
128,Sales,8.4,76256
129,Engineering,10.5,77507
130,Finance,11.5,102006
131,HR,,74735
132,HR,14.6,56708
133,Engineering,13.2,89558
134,Finance,9.5,70016
135,Marketing,8.6,84757
136,Finance,5.5,61276
137,HR,13.3,65153
138,Marketing,13.3,55161
139,Sales,12.4,74911
140,Marketing,10.2,86031
141,Finance,13.2,87730
142,Finance,11.6,105211
143,HR,6.6,69472
144,Finance,7.3,76246
145,HR,1.3,60080
146,Engineering,2.0,111359
147,Engineering,13.7,91654
148,Marketing,4.9,81812
149,Marketing,11.1,87423
150,Marketing,12.0,76677
151,Engineering,10.2,93219
152,Sales,13.1,43550
153,Engineering,1.8,117724
154,Engineering,4.5,82465
155,Marketing,6.9,68254
156,Engineering,7.2,106066
157,Finance,12.7,66112
158,Marketing,3.3,81826
159,Sales,13.6,50789
160,Sales,4.7,69819
161,Finance,10.3,91894
162,HR,4.0,48832
163,Finance,1.9,80552
164,Finance,7.7,94807
165,Finance,2.1,72178
166,Engineering,10.5,85414
167,Finance,,98962
168,Engineering,6.9,108251
169,HR,14.1,58386
170,HR,4.3,70938
171,HR,,49754
172,Finance,15.0,66552
173,Marketing,8.1,58680
174,Engineering,13.3,94217
175,Sales,12.7,59825
176,Finance,1.1,96346
177,Engineering,14.1,78800
178,Engineering,11.4,80187
179,Finance,3.9,82471
180,HR,8.1,61457
181,Engineering,2.3,97759
182,Engineering,1.0,78573
183,HR,3.3,73956
184,Sales,8.9,47331
185,Marketing,8.6,74196
186,Marketing,7.0,52741
187,Engineering,13.6,83767
188,Engineering,6.0,106692
189,Sales,14.6,50128
190,Marketing,13.1,61603
191,Engineering,3.5,91770
192,Sales,12.2,56263
193,Engineering,6.4,72537
194,Marketing,3.8,80166
195,Marketing,4.1,62656
196,HR,13.1,63292
197,Finance,6.6,95141
198,Engineering,2.6,87118
199,HR,1.5,73479
200,HR,7.1,78516
