price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,zipcode
171958,4,3.0,3419,4945,1.5,98101
721155,2,4.2,3294,1194,2.0,98103
181932,6,2.4,1910,5251,2.5,98109
1464414,2,3.3,3986,4530,2.0,98102
309178,5,4.2,4112,2700,3.0,98102
1742743,3,2.0,4967,16688,1.5,98107
160268,1,4.5,1565,14308,3.0,98107
782180,3,4.8,4495,11300,3.0,98104
1153462,3,1.2,4258,6840,1.5,98105
187337,1,1.2,1110,4890,3.0,98109
1049890,6,1.4,4715,5692,1.5,98106
1620006,2,4.1,2338,16056,2.0,98102
1186074,2,1.8,2595,13275,3.0,98107
1997735,6,3.9,4073,8632,3.0,98105
962756,1,2.8,972,10258,2.5,98109
225203,4,4.3,1656,18370,3.0,98102
1289911,3,4.2,3690,9475,1.0,98107
328167,5,4.8,4919,4238,3.0,98105
91090,2,2.0,551,8567,3.0,98101
379365,6,1.9,2683,10027,2.5,98101
1163396,5,1.1,1927,19979,1.0,98101
837201,1,2.6,2716,9574,2.0,98105
1420455,5,2.8,2323,7941,1.5,98101
1816891,5,4.9,4955,7492,3.0,98109
377069,3,4.3,567,17830,2.0,98109
1875573,1,1.7,4314,11311,2.0,98108
1297617,5,4.2,1673,5394,1.5,98105
841743,2,1.7,4816,4146,1.5,98109
153355,1,1.3,760,13156,2.0,98102
1334372,2,4.3,2813,18032,1.0,98103
1312752,6,4.9,4030,7893,2.5,98103
234779,6,1.4,2149,13568,2.0,98104
1446025,4,4.3,1176,14272,1.5,98102
1520485,6,4.4,4439,13574,2.5,98104
1039436,5,1.5,4838,16005,1.5,98101
1357371,1,2.1,2435,9392,2.0,98107
536232,6,3.9,2178,2511,2.5,98105
967040,2,4.2,1692,14585,1.5,98104
1598762,5,2.4,3122,1130,1.5,98102
206730,6,1.6,1165,12810,1.0,98108
1969486,3,3.6,2101,14608,1.5,98103
1483257,2,3.8,2409,16694,3.0,98105
1248079,2,3.0,687,9305,2.0,98103
704811,4,1.6,1204,15800,3.0,98107
577035,3,4.4,3867,16582,2.0,98104
698143,4,3.6,3953,10437,1.0,98109
1550942,6,4.5,1866,8712,2.0,98101
115725,3,4.7,3149,16653,1.0,98105
1228557,2,4.2,834,3295,2.5,98105
134654,4,4.8,2884,7754,3.0,98107
1003277,5,4.8,855,10792,3.0,98101
641723,3,3.5,2422,4267,1.0,98108
369030,2,3.9,4827,7713,3.0,98107
1427523,1,3.8,3838,10401,3.0,98108
605839,3,3.5,1295,9677,1.0,98101
323538,3,1.1,689,1676,1.0,98103
381236,6,2.4,4643,13422,1.5,98106
578178,5,1.4,1313,10214,3.0,98107
615894,6,2.2,2602,8482,3.0,98103
539492,3,1.3,3910,6513,2.5,98109
1355416,3,4.7,2666,18184,3.0,98105
523254,5,2.8,2750,11930,1.0,98107
399457,5,1.8,2179,2869,2.0,98107
715987,4,3.3,2558,18315,1.5,98105
1369512,2,1.8,4854,1805,1.0,98104
1338507,2,4.2,4893,11038,2.0,98109
1338205,4,2.2,1720,16773,3.0,98104
1303617,2,2.3,2127,15686,1.0,98107
748361,3,4.5,2880,13073,3.0,98102
1830488,4,3.2,1899,11670,2.5,98108
1515689,4,4.5,633,4986,2.5,98104
118148,2,2.7,2663,18494,1.5,98105
1875665,1,2.4,3209,2615,2.0,98105
698531,2,3.0,1779,2432,1.0,98101
1350571,6,1.2,1052,8548,1.5,98104
956606,1,1.6,2586,2497,3.0,98107
728843,4,1.9,4394,2916,1.0,98104
622843,1,4.3,3473,6896,1.0,98102
306508,3,3.9,1653,14783,3.0,98105
853591,5,1.8,4658,10838,1.5,98107
946942,1,2.1,1454,12263,1.5,98104
156530,6,4.8,3077,9067,2.5,98106
654365,5,1.3,4288,12368,1.0,98104
1920928,3,3.2,3568,4070,1.5,98103
510337,6,3.1,735,16011,1.0,98101
1823415,5,3.9,4251,16549,2.5,98108
855889,3,2.0,4143,5347,2.0,98106
1558349,5,4.7,1608,6592,2.0,98103
258261,5,2.6,2296,14104,2.5,98101
1863045,2,2.1,3973,13505,1.0,98104
1439673,6,2.3,1890,15505,1.5,98104
1413715,6,2.4,3631,6377,1.5,98108
1270405,1,1.8,2711,11910,3.0,98106
321836,6,4.7,3141,1075,1.5,98103
1537550,6,1.7,3728,16599,1.0,98105
1039913,5,4.5,1426,9548,1.0,98106
252283,4,2.6,3421,19377,2.5,98105
246769,2,2.1,3456,11557,3.0,98102
611353,1,1.8,4327,10313,1.5,98106
1321741,2,3.0,3945,17488,1.0,98108
1722163,1,3.7,4538,7339,1.0,98108
1096797,3,4.6,620,19150,2.0,98106
1000110,5,3.6,1465,11953,1.0,98103
1634398,6,2.9,2549,13891,3.0,98108
537879,6,1.1,4713,7020,1.5,98101
614685,4,4.7,4219,16707,2.0,98107
832038,2,4.6,4413,15382,1.0,98108
1452107,2,2.5,4324,10738,3.0,98105
1361736,2,1.1,4969,18870,2.5,98104
1057293,6,3.9,3679,13850,1.5,98105
629879,2,4.2,3870,9708,2.5,98101
1319460,5,3.2,4004,14086,3.0,98106
73247,1,2.6,4541,15759,2.5,98105
1122876,6,4.4,2423,16444,1.5,98105
1565857,5,1.8,4316,2988,3.0,98105
657086,3,2.8,3591,12661,1.0,98109
583556,5,1.1,2276,15089,2.5,98109
1447527,5,1.7,1271,5945,2.0,98108
1372905,3,4.8,4077,17247,2.5,98109
1817640,5,3.3,2038,12989,3.0,98105
792139,1,4.2,3367,7066,2.0,98102
482315,6,2.9,4049,19639,3.0,98102
976075,4,4.3,1303,9637,3.0,98108
566588,3,3.2,3769,5509,2.0,98103
1335160,6,1.0,678,6921,3.0,98101
1660908,2,4.6,1114,8403,2.0,98102
1936222,1,1.6,2254,16463,1.0,98106
1028732,4,2.8,546,14353,3.0,98107
1475472,1,2.9,4183,2154,1.0,98106
98984,1,1.2,3034,5798,1.5,98101
352918,2,1.2,715,15396,2.5,98101
314712,4,4.1,3439,6188,1.0,98106
1218727,1,2.2,3399,17641,2.5,98107
1554384,2,2.6,3376,16928,2.0,98101
183767,3,3.3,1736,11447,1.5,98108
698663,2,2.5,1507,7684,2.0,98105
1802126,5,4.1,2638,5829,3.0,98103
186330,6,4.5,4910,13777,2.5,98106
530754,2,1.2,2659,3017,2.0,98105
1400224,2,3.5,3684,17556,2.5,98106
1787095,2,2.3,873,14923,3.0,98101
63986,1,3.3,1786,9774,3.0,98106
636146,4,2.9,867,18741,2.5,98101
1227888,2,2.3,4973,7739,1.5,98105
62666,2,1.4,4425,8396,2.5,98105
1399380,5,3.2,3616,5825,2.5,98106
184633,5,1.5,1794,13669,2.0,98108
338998,3,1.6,4476,3994,2.5,98107
900937,3,4.9,673,7309,1.5,98107
678776,5,2.3,4631,14263,1.5,98108
1806187,4,3.3,4897,13299,2.5,98107
1383382,3,2.1,2580,17832,1.0,98105
1893400,6,4.5,4334,1187,2.5,98109
1129111,6,2.1,2929,12539,2.0,98104
1046107,4,2.5,3273,17350,1.0,98104
1474289,5,3.4,1192,15865,3.0,98109
888688,3,4.5,3529,5553,3.0,98107
401279,2,4.3,1373,4446,1.0,98101
963910,5,2.1,4914,10284,2.5,98103
1920230,3,4.3,3596,12388,3.0,98106
1700237,4,3.8,1257,18509,2.0,98106
1746548,6,5.0,4124,12989,3.0,98101
539570,4,4.7,2606,6497,2.0,98109
1555127,3,3.1,4772,12413,1.0,98107
1371685,4,4.0,2065,5606,2.0,98106
74538,3,3.3,3616,4477,1.5,98104
944498,3,3.4,4023,8744,1.5,98101
251664,4,1.4,808,16587,1.5,98109
541234,1,1.0,653,9112,1.5,98105
1998260,2,1.2,1466,16948,1.0,98109
189182,5,4.9,1663,10611,2.0,98107
1571101,6,1.5,3316,5722,2.5,98104
1256914,2,1.2,884,16867,1.5,98102
234064,5,2.2,4219,13527,1.5,98108
264020,5,3.4,3295,5541,3.0,98109
1089577,6,4.8,1556,13170,1.5,98101
673094,2,3.8,2231,2649,2.5,98107
947421,6,2.1,3942,17707,2.5,98104
665270,3,4.8,2169,15344,3.0,98108
1744490,6,1.1,4576,18922,1.0,98101
1217752,4,4.9,4527,17839,1.0,98102
967710,1,1.2,4274,7920,2.0,98107
1316702,1,4.0,1959,2361,2.5,98106
268969,1,1.2,505,2813,2.5,98101
172409,2,4.7,2141,17996,1.5,98106
1646283,2,1.4,4329,15453,1.5,98107
303618,3,1.2,1116,5687,1.5,98107
819598,1,4.6,1385,12396,2.0,98108
1148591,3,1.4,2570,8652,2.5,98106
822838,1,4.2,660,3539,1.5,98102
1220672,2,4.0,1717,13802,1.5,98107
1729923,4,3.4,4678,4335,2.5,98101
1283916,4,2.5,667,10684,1.5,98101
1209263,4,4.7,4412,2075,3.0,98106
924371,6,4.5,3202,15020,3.0,98106
1509933,4,2.7,3102,16749,1.0,98101
785716,5,1.9,4939,12418,2.5,98108
1204454,1,2.1,4607,11616,3.0,98109
1825846,4,1.9,4105,8573,2.5,98108
1023548,5,3.2,2053,3615,2.0,98101
1296862,5,4.5,949,7698,2.5,98108
