Size,Location,Price
Large,Rural,157592
Small,Rural,181571
Small,Rural,224364
Large,Urban,160322
Medium,Rural,161226
Small,Suburban,245932
Small,Urban,213699
Small,Urban,159071
Large,Urban,249693
Small,Suburban,219822
Large,Suburban,166483
Large,Suburban,166828
Large,Urban,236474
Small,Urban,212296
Large,Rural,222063
Medium,Rural,171643
Small,Suburban,184741
Small,Urban,219163
Small,Rural,229507
Small,Suburban,205461
Small,Suburban,177760
Large,Rural,220686
Large,Suburban,248994
Small,Urban,245673
Large,Suburban,240422
Small,Urban,176365
Large,Urban,243447
Large,Rural,190857
Large,Rural,202296
Large,Rural,238039
Medium,Suburban,235180
Small,Rural,198944
Medium,Rural,207422
Large,Suburban,217839
Medium,Rural,209177
Small,Suburban,165860
Small,Suburban,182493
Large,Urban,179451
Medium,Urban,158392
Medium,Rural,194313
Medium,Suburban,152757
Small,Urban,227110
Small,Urban,222603
Medium,Urban,180161
Small,Urban,227128
Small,Rural,178864
Medium,Urban,150942
Small,Rural,159305
Medium,Suburban,242778
Medium,Rural,232719
Large,Urban,157716
Medium,Suburban,180007
Small,Suburban,158834
Large,Rural,154117
Medium,Suburban,193309
Large,Rural,159287
Small,Suburban,217391
Medium,Rural,181195
Small,Urban,186500
Large,Rural,237684
Medium,Rural,213624
Large,Urban,178080
Large,Rural,220678
Medium,Rural,167342
Large,Suburban,244811
Small,Rural,224847
Large,Suburban,225525
Small,Urban,211953
Small,Suburban,181850
Large,Suburban,211993
Small,Urban,203354
Medium,Suburban,174957
Small,Urban,162363
Small,Rural,162704
Small,Rural,236374
Medium,Suburban,206498
Medium,Rural,196438
Medium,Urban,205519
Large,Rural,203883
Medium,Urban,211213
Small,Rural,245561
Medium,Suburban,157100
Medium,Rural,238259
Small,Rural,235649
Large,Rural,234696
Medium,Urban,162899
Large,Urban,157944
Large,Suburban,202772
Large,Urban,245448
Small,Rural,194473
Large,Rural,164322
Large,Urban,182591
Small,Rural,175112
Large,Suburban,174931
Large,Suburban,220292
Small,Urban,208800
Small,Urban,168373
Medium,Suburban,205296
Medium,Suburban,174050
Medium,Urban,186509
