Id,Location,Size,Price
1,San Diego,4795,430333
2,Los Angeles,2451,727333
3,Seattle,3781,389858
4,San Diego,3862,199442
5,Boston,3853,686289
6,Miami,2355,905284
7,New York,1799,1371205
8,San Diego,3205,1298093
9,Chicago,3063,769107
10,Dallas,1269,1452015
11,Denver,3261,1083768
12,New York,4383,374832
13,Los Angeles,1043,872753
14,San Diego,1655,712279
15,New York,4890,626015
16,Chicago,3852,1272872
17,Boston,4104,799300
18,Boston,3913,213494
19,Boston,728,1030522
20,Dallas,3094,435606
21,Chicago,2529,160064
22,Seattle,814,720559
23,Los Angeles,3721,973952
24,New York,4944,1321425
25,Los Angeles,4452,1351566
26,Miami,1102,852394
27,Dallas,2038,540545
28,Denver,2216,785557
29,Chicago,1353,1075939
30,Chicago,4701,924486
31,San Diego,3944,633119
32,Chicago,4629,131659
33,Chicago,651,408872
34,Los Angeles,4101,1210978
35,Austin,4434,1163943
36,Boston,3705,1274095
37,Dallas,2692,1088532
38,Seattle,3813,431130
39,Boston,2565,321715
40,Los Angeles,1179,225933
41,Austin,2810,1125240
42,Los Angeles,884,921222
43,Miami,2540,1159243
44,San Diego,4596,1256831
45,Denver,3832,733415
46,Boston,2235,869852
47,Seattle,1287,1262151
48,Miami,2228,1307548
49,San Diego,3616,1051299
50,Dallas,4821,840718
51,Austin,3652,423851
52,New York,4077,972895
53,Boston,1549,204926
54,Chicago,3913,873061
55,Los Angeles,4830,203338
56,Miami,4345,1299183
57,Miami,3758,613166
58,Seattle,3681,669504
59,Seattle,3143,1494167
60,New York,942,1170572
61,Austin,1246,1454914
62,Austin,1305,159669
63,Miami,2839,553564
64,San Diego,3094,1369385
65,Seattle,4825,1497070
66,Miami,3148,130044
67,Dallas,2027,1301906
68,Dallas,3066,551338
69,Chicago,2252,1056767
70,San Diego,4309,761328
71,San Diego,3802,1489815
72,Miami,1108,657447
73,Boston,2941,975948
74,Dallas,3285,607865
75,Boston,974,1026649
76,Chicago,3872,780326
77,Chicago,1555,717355
78,Austin,4339,637177
79,Austin,3095,855575
80,Los Angeles,741,777182
81,Denver,3783,150637
82,Seattle,2918,1309931
83,Boston,637,451771
84,Austin,1939,1275275
85,Seattle,1511,191484
86,New York,3792,186114
87,New York,3198,721726
88,San Diego,3378,1233564
89,Los Angeles,4969,1230731
90,Miami,2189,745755
91,Boston,4802,1239212
92,Seattle,1454,884648
93,Denver,4934,422733
94,Austin,2567,495236
95,Dallas,3472,1095195
96,Boston,2301,214955
97,Seattle,4273,1468136
98,Boston,2644,606825
99,Austin,1840,1095683
100,Seattle,625,540678
101,Chicago,1988,1438617
102,Dallas,3564,963263
103,Los Angeles,1227,289398
104,Miami,4483,771300
105,Austin,3745,746032
106,Boston,3703,811827
107,Los Angeles,3600,1093386
108,New York,2496,986618
109,Seattle,2475,443531
110,Austin,3714,783472
111,Miami,931,1221325
112,New York,4884,104726
113,Miami,1842,1343989
114,Dallas,1848,1154803
115,Miami,669,503495
116,Dallas,1956,203786
117,Seattle,3974,1130078
118,Boston,3524,1086612
119,New York,1152,726506
120,Boston,1847,726729
121,San Diego,4891,681053
122,Miami,975,1238000
123,Seattle,639,511525
124,Seattle,4569,197423
125,Boston,4727,456606
126,San Diego,1174,428310
127,Denver,4903,192769
128,Dallas,2484,586129
129,Austin,1215,406743
130,Denver,4356,424651
131,Austin,3522,196023
132,Denver,734,188417
133,Miami,4128,806219
134,Los Angeles,4129,627710
135,Dallas,2893,1082553
136,San Diego,1861,1023267
137,Seattle,3215,170294
138,Denver,4474,677115
139,Los Angeles,2487,458455
140,Los Angeles,3218,1447281
141,Los Angeles,2925,1471863
142,Dallas,3683,362463
143,Chicago,2364,743462
144,New York,4845,916491
145,San Diego,2977,1096721
146,Dallas,3656,1338355
147,Miami,2466,305696
148,San Diego,2139,358614
149,Miami,3273,136756
150,San Diego,2663,411477
151,Seattle,824,1096093
152,Miami,3925,1107123
153,Miami,2783,1112073
154,Denver,2795,1287912
155,Dallas,4411,164498
156,Seattle,1297,375465
157,Austin,3366,237212
158,New York,1948,1103901
159,Chicago,4771,982263
160,San Diego,2006,166906
161,Los Angeles,1108,1043816
162,New York,2479,802007
163,Boston,2390,727193
164,Austin,860,1251392
165,Austin,1853,260621
166,Seattle,729,1253794
167,Dallas,4004,1470214
168,Austin,1844,664778
169,Miami,3561,818768
170,Austin,2262,623905
171,Los Angeles,2051,634965
172,Seattle,4707,636090
173,Chicago,2877,283481
174,Los Angeles,3189,1079433
175,Denver,4576,236339
176,Boston,4974,1056982
177,San Diego,1735,143664
178,Boston,3670,275327
179,Boston,700,149302
180,San Diego,697,509587
181,Chicago,3221,731747
182,Boston,2600,1264701
183,Denver,4174,454255
184,New York,4557,595758
185,Boston,1421,1446954
186,Dallas,3051,642313
187,Los Angeles,2179,590597
188,Denver,1658,890575
189,Miami,3393,338845
190,Dallas,1843,443519
191,Boston,3824,979058
192,Boston,2726,406787
193,Dallas,3032,429102
194,Austin,2691,1130009
195,San Diego,1554,954681
196,Denver,2686,618369
197,New York,2602,1198358
198,Boston,2520,593254
199,Boston,4464,1148192
200,New York,3045,1142630
201,Boston,3876,1418376
202,Dallas,4941,720510
203,Los Angeles,2556,1458882
204,Miami,1417,596736
205,New York,4663,467721
206,Boston,3902,199880
207,New York,2094,894528
208,Los Angeles,4717,468179
209,New York,3304,166598
210,Los Angeles,4607,218958
211,Austin,1726,588746
212,Dallas,793,201739
213,Boston,1293,1455768
214,Austin,4067,697692
215,Chicago,4697,1278363
216,Boston,626,1088728
217,Austin,4840,613131
218,Denver,3827,373520
219,Austin,1793,701695
220,Seattle,2434,759357
221,Boston,4542,1015401
222,Seattle,3329,525882
223,Boston,4236,1216995
224,Los Angeles,3226,1455624
225,Austin,3994,507292
226,Chicago,3017,824858
227,Denver,2167,483132
228,Austin,3928,145127
229,Boston,4242,439537
230,Denver,4322,881139
231,Miami,1443,848115
232,Dallas,1202,840937
233,Dallas,1686,338688
234,Boston,1655,1170266
235,Boston,965,1277638
236,Los Angeles,3545,1080403
237,Los Angeles,1416,351317
238,Miami,4877,1325643
239,Miami,4596,449897
