Income,Credit_Score,Loan_Amount,Approved
40627,686,6735,0
38792,714,13296,0
73001,774,6555,1
53897,783,11146,1
98148,721,10050,1
53483,701,14757,1
78555,709,19429,1
47159,645,8893,0
65920,782,16373,1
97121,729,16565,1
99479,662,5436,0
49457,601,10754,0
96557,817,12677,1
82995,844,7895,1
70757,662,18609,0
39692,650,17636,0
75758,662,9022,0
95697,630,11151,0
67065,736,7600,1
62606,662,9996,0
41534,551,11007,0
70397,679,14946,0
31016,769,6642,0
85591,603,13312,0
53247,773,9679,1
54300,774,10208,1
39268,675,12716,0
42185,679,19453,0
93704,602,5444,0
69099,721,12757,1
38571,767,16434,0
68044,709,3060,1
81214,747,5420,1
91228,796,2301,1
78984,752,14468,1
70774,733,18990,1
32568,672,2699,0
92592,804,2190,1
97563,843,12492,1
32695,829,19364,0
78190,647,4975,0
35258,747,8102,0
69504,789,19568,1
63159,693,3816,0
43986,646,2569,0
91858,750,7442,1
42666,673,3895,0
68660,736,5863,1
33561,808,14913,0
56854,697,9455,0
94505,801,6014,1
82251,696,13093,0
52662,697,5009,0
38392,748,18538,0
60535,677,12729,0
82256,588,3409,0
65222,678,14249,0
93335,816,2784,1
40965,700,10096,0
54538,847,9560,1
38110,648,14533,0
57266,812,9343,1
82992,801,9206,1
36910,693,7801,0
30206,661,18921,0
53419,609,7986,0
80636,551,12647,0
80015,803,10716,1
84268,689,14323,0
48141,586,6780,0
86044,709,4368,1
97214,558,14039,0
63827,782,8655,1
85820,648,10173,0
92623,696,6495,0
52299,757,12893,1
73585,680,15403,0
94044,701,15121,1
72557,603,12966,0
79080,669,2853,0
32693,710,18958,0
99163,665,19532,0
55939,624,11907,0
78925,662,6777,0
72941,653,17338,0
51834,803,4491,1
48047,776,17328,0
56105,661,16599,0
45707,648,5051,0
51976,702,17979,1
74262,743,18388,1
53776,712,2876,1
60080,757,6142,1
96842,718,17202,1
91373,710,8966,1
36776,617,9079,0
85016,838,9987,1
39474,826,8799,0
88053,684,6465,0
51959,744,19019,1
