Income,Credit Score,Loan Amount,Decision
45795,776,133881,Reject
30860,610,113099,Reject
106820,829,61579,Approve
84886,640,77574,Reject
36265,789,92261,Reject
112386,713,137468,Reject
67194,779,142441,Reject
117498,793,107218,Reject
74131,795,113263,Reject
90263,841,144257,Reject
46023,691,125118,Reject
71090,824,79235,Approve
97221,674,72904,Reject
94820,666,101721,Reject
30769,767,56740,Reject
89735,604,137920,Reject
92955,715,93130,Approve
94925,812,69554,Approve
97969,749,27199,Approve
35311,717,59032,Reject
113104,764,112886,Reject
83707,610,101410,Reject
115305,643,24480,Reject
58693,813,50435,Approve
101932,832,50120,Approve
55658,780,92155,Approve
114478,676,22607,Reject
48431,717,94918,Reject
32747,715,94116,Reject
89150,788,105324,Reject
95725,666,42026,Reject
114654,612,144653,Reject
65773,691,37173,Reject
97435,845,108816,Reject
86886,610,54262,Reject
96803,738,71903,Approve
61551,684,144427,Reject
41394,843,67156,Reject
99092,684,92246,Reject
33890,734,119124,Reject
71606,616,139828,Reject
110038,647,139826,Reject
117313,741,97764,Approve
40627,790,148855,Reject
38792,791,82301,Reject
103969,696,111591,Reject
73001,674,137057,Reject
106552,804,84314,Approve
53897,792,116688,Reject
98148,761,40449,Approve
53483,736,113242,Reject
78555,676,50466,Reject
47159,727,136151,Reject
110077,636,136595,Reject
65920,629,108121,Reject
97121,768,129561,Reject
99479,772,44279,Approve
119475,828,31837,Approve
49457,646,44209,Reject
96557,734,32220,Approve
107189,741,23965,Approve
108953,647,131342,Reject
82995,733,62276,Approve
70757,633,134869,Reject
39692,807,124304,Reject
75758,842,47230,Approve
102409,700,109165,Reject
101211,827,61920,Approve
95697,645,85165,Reject
67065,786,81544,Approve
62606,669,148260,Reject
41534,735,145534,Reject
70397,623,113406,Reject
31016,666,102909,Reject
119789,603,114691,Reject
85591,823,128221,Reject
119812,600,140960,Reject
53247,633,132958,Reject
54300,708,119010,Reject
104065,608,43036,Reject
112798,662,146995,Reject
39268,803,85322,Reject
116807,609,24847,Reject
42185,737,106250,Reject
93704,777,70772,Approve
116779,643,32893,Reject
69099,717,24649,Approve
38571,775,50571,Reject
68044,814,31613,Approve
81214,605,124900,Reject
91228,815,73833,Approve
78984,720,82423,Approve
70774,751,109964,Reject
32568,812,138268,Reject
92592,847,132242,Reject
97563,833,61382,Approve
32695,694,138703,Reject
78190,710,72348,Approve
35258,785,108069,Reject
117538,704,73705,Approve
69504,663,95642,Reject
63159,821,145481,Reject
43986,783,117849,Reject
91858,825,105930,Reject
42666,809,97813,Reject
68660,739,75817,Approve
33561,762,100984,Reject
56854,670,98669,Reject
94505,832,64142,Approve
82251,703,90182,Approve
52662,688,33708,Reject
38392,605,26090,Reject
60535,792,72902,Approve
108603,709,112170,Reject
82256,807,111757,Reject
119135,787,131088,Reject
65222,711,129583,Reject
107373,795,100928,Reject
109575,756,63752,Approve
114651,765,120840,Reject
93335,838,39643,Approve
40965,819,59647,Reject
54538,749,85082,Approve
100592,726,100329,Reject
38110,735,117330,Reject
109309,662,92974,Reject
57266,823,104431,Reject
82992,824,38474,Approve
112948,740,57402,Approve
36910,754,102487,Reject
30206,745,36504,Reject
117054,617,26768,Reject
117897,676,94043,Reject
53419,813,133661,Reject
80636,789,115346,Reject
80015,741,20620,Approve
84268,738,40447,Approve
117939,702,118757,Reject
48141,841,39118,Reject
110356,716,145551,Reject
101910,813,82051,Approve
86044,827,66599,Approve
97214,616,86494,Reject
63827,778,30200,Approve
85820,823,114854,Reject
92623,613,119066,Reject
111734,833,78704,Approve
105450,656,73487,Reject
52299,692,133373,Reject
73585,733,66465,Approve
94044,713,49840,Approve
72557,784,108440,Reject
79080,731,38435,Approve
32693,738,67897,Reject
99163,708,141677,Reject
55939,831,117607,Reject
78925,801,126692,Reject
72941,718,83876,Approve
51834,691,109727,Reject
48047,610,69412,Reject
56105,698,92282,Reject
105766,806,48484,Approve
45707,607,58658,Reject
51976,811,26053,Approve
74262,713,147069,Reject
53776,786,119584,Reject
60080,748,102055,Reject
96842,664,149548,Reject
91373,692,75251,Reject
36776,751,60645,Reject
85016,757,22545,Approve
39474,703,148177,Reject
88053,698,99983,Reject
51959,824,115495,Reject
35530,683,97213,Reject
33748,784,28560,Reject
43545,807,82375,Reject
96199,672,23662,Reject
64766,822,134041,Reject
103530,744,98591,Approve
91087,658,59497,Reject
98840,630,72606,Reject
84384,663,82112,Reject
81005,647,98334,Reject
76576,622,90344,Reject
69353,797,28048,Approve
92003,757,98643,Approve
113211,654,26520,Reject
82733,606,36928,Reject
95318,847,75368,Approve
119474,711,43501,Approve
53664,831,73751,Approve
97172,705,56191,Approve
115616,837,49476,Approve
56736,802,139493,Reject
30854,697,46948,Reject
68623,611,24483,Reject
37392,659,76123,Reject
85680,843,130831,Reject
76717,651,59887,Reject
