Income,CreditScore,LoanAmount,Decision
35795,488,24476,0
20860,301,77597,0
96820,467,86697,0
74886,667,72209,0
26265,835,96200,0
102386,669,68575,0
57194,736,12308,1
107498,506,114941,0
64131,348,38267,0
80263,843,103629,0
36023,428,34224,0
61090,746,125721,0
87221,334,71423,0
84820,498,112491,0
20769,376,81768,0
79735,668,38696,0
82955,825,65312,1
84925,648,74939,0
87969,805,19992,1
25311,537,144062,0
103104,579,49215,0
73707,731,87544,1
105305,437,9344,0
48693,568,56523,0
91932,500,141188,0
113016,441,64660,0
45658,654,112773,0
104478,628,46646,0
38431,530,9610,0
22747,607,65519,0
79150,445,42265,0
85725,451,139924,0
104654,439,102222,0
55773,320,24788,0
87435,553,12724,0
76886,363,54725,0
86803,517,51026,0
51551,371,146069,0
31394,461,54588,0
89092,429,15695,0
23890,524,48422,0
61606,753,68442,1
116276,683,137470,0
100038,406,113050,0
107313,402,78227,0
30627,440,81479,0
28792,433,84462,0
93969,498,65273,0
63001,809,50817,1
96552,378,66171,0
43897,781,148185,0
88148,811,139338,0
43483,549,142480,0
68555,782,19842,1
37159,471,147208,0
100077,316,139569,0
55920,593,66415,0
112067,693,26340,0
87121,797,112362,0
89479,518,100330,0
109475,533,73070,0
39457,689,61725,0
86557,547,52018,0
97189,351,127907,0
98953,314,40985,0
72995,623,65341,0
60757,740,94249,1
29692,411,84712,0
65758,306,24075,0
92409,544,126229,0
91211,747,6555,1
85697,664,131562,0
57065,666,73625,0
112093,586,78114,0
119299,405,127656,0
52606,312,121292,0
31534,445,28185,0
114663,777,133877,0
60397,414,39594,0
111387,808,128126,0
21016,451,22754,0
109789,356,49507,0
75591,681,26512,0
109812,456,141883,0
43247,432,39459,0
44300,462,69757,0
94065,574,106694,0
102798,376,14862,0
29268,343,103340,0
106807,849,114912,0
32185,617,40107,0
83704,833,93080,1
106779,453,39139,0
59099,536,38444,0
28571,816,133443,0
58044,520,136324,0
71214,609,106168,0
81228,476,121304,0
68984,519,15208,0
60774,337,89151,0
22568,730,60585,0
82592,502,87680,0
87563,747,90206,1
22695,794,44069,0
68190,424,61218,0
25258,364,30006,0
107538,543,131610,0
59504,826,44916,1
53159,525,30667,0
33986,764,81427,0
81858,592,52688,0
32666,680,19414,0
58660,465,129668,0
23561,517,23564,0
46854,574,10316,0
84505,351,49056,0
72251,673,93353,0
42662,662,47239,0
28392,313,77909,0
50535,639,67938,0
98603,838,41054,1
72256,388,107821,0
109135,340,134581,0
55222,603,24012,0
97373,567,87458,0
99575,437,23164,0
116354,305,11605,0
104651,541,82254,0
83335,461,21120,0
30965,817,121648,0
44538,700,119140,0
90592,455,44865,0
118018,384,90482,0
28110,309,75437,0
99309,437,113996,0
47266,455,138557,0
72992,707,64789,1
102948,524,127863,0
118806,483,103952,0
26910,494,15461,0
110982,695,62042,0
20206,433,84548,0
107054,608,57967,0
107897,841,109583,0
43419,308,145815,0
70636,469,129182,0
70015,589,7632,0
74268,467,32108,0
107939,643,104572,0
38141,796,49049,0
100356,444,77556,0
91910,712,41395,1
76044,756,43270,1
87214,601,44190,0
53827,345,10846,0
75820,316,90440,0
82623,659,115150,0
101734,560,144884,0
95450,422,75943,0
113426,530,122211,0
42299,411,140839,0
