Age,EstimatedSalary,Purchased
56,101290,0
46,59389,0
32,35905,1
25,72557,1
38,131814,0
56,99752,1
36,19574,0
40,103291,0
28,111777,0
28,39737,1
41,38390,1
53,106612,1
57,67330,0
41,86082,1
20,36037,1
39,131668,0
19,134229,1
41,111342,0
47,104928,1
55,43087,0
19,124844,0
38,27803,1
50,81761,0
29,143574,0
39,93579,0
42,51764,1
44,62055,0
59,66599,1
45,97787,1
33,54720,0
32,108120,0
20,142976,0
54,129067,0
24,28219,0
38,123508,0
26,105351,0
56,63865,0
35,69457,1
21,105159,0
42,108391,1
31,65400,0
26,51258,0
43,126466,0
19,92264,0
37,123877,1
45,26338,0
24,26675,0
25,104606,0
52,35080,0
31,28936,0
34,25019,0
53,103304,0
57,19486,0
21,97021,0
19,133411,1
23,66697,0
59,70998,0
21,124537,0
46,112816,0
35,41576,0
43,123064,0
51,96238,0
27,140885,0
53,80729,1
31,105853,1
48,136992,0
32,44144,0
25,140143,0
31,92148,1
40,34307,1
57,75598,0
38,106810,0
33,117870,1
35,87131,1
41,109138,0
43,118412,0
42,49551,0
58,57926,0
46,105214,0
32,102750,0
18,53599,1
42,124490,1
24,108330,1
26,37593,0
41,124865,0
18,147192,0
25,58638,0
41,20193,0
28,30213,0
34,94766,0
25,44949,0
52,149599,0
52,117433,0
50,40412,0
22,61545,1
59,91519,0
56,111093,0
58,109324,0
45,18768,1
24,16504,0
26,82986,1
25,131721,0
29,23002,0
51,90427,1
50,53787,0
40,28898,0
41,95800,0
54,124023,0
52,141718,0
57,48743,0
39,145864,0
44,31868,1
52,17080,0
18,78271,0
52,92585,0
54,139147,0
31,30628,0
20,140850,0
18,143872,1
22,27460,0
43,18477,0
31,17202,0
56,128846,0
44,104410,1
26,121753,0
32,26850,0
32,148878,1
43,109368,1
59,15185,0
30,39718,1
49,33458,0
56,145293,0
49,137342,0
21,91820,0
47,119014,0
54,96234,0
40,144282,0
56,24102,0
32,82107,0
46,141328,1
53,99079,0
30,144169,0
49,109437,0
24,94570,0
39,107656,0
45,133301,1
19,53795,0
59,66425,1
23,72402,0
45,118127,1
45,64649,0
37,110117,1
47,93156,0
28,103340,0
45,45568,0
42,23912,0
56,65426,0
50,125363,0
18,17355,1
44,111429,0
30,126151,0
58,53526,0
20,33088,0
56,80377,0
23,76788,0
25,66529,0
44,127833,0
26,118578,0
54,54177,1
50,131903,0
59,54056,0
41,81421,0
32,54685,0
49,83590,0
49,23977,1
41,105568,1
58,63967,0
29,89072,0
56,36500,1
