Product,Price,Quantity,Total Revenue
Tablet,300,20,6000
Phone,800,20,16000
Laptop,1200,20,24000
Phone,800,20,16000
Laptop,1200,20,24000
Monitor,200,20,4000
Phone,800,20,16000
Monitor,200,20,4000
Tablet,300,20,6000
Laptop,1200,20,24000
Tablet,300,20,6000
Monitor,200,20,4000
Tablet,300,20,6000
Laptop,1200,20,24000
Tablet,300,20,6000
Tablet,300,20,6000
Tablet,300,20,6000
Phone,800,20,16000
Laptop,1200,20,24000
Laptop,1200,20,24000
Tablet,300,20,6000
Laptop,1200,20,24000
Tablet,300,20,6000
Tablet,300,20,6000
Tablet,300,20,6000
Monitor,200,20,4000
Tablet,300,20,6000
Tablet,300,20,6000
Laptop,1200,20,24000
Phone,800,20,16000
Phone,800,20,16000
Tablet,300,20,6000
Monitor,200,20,4000
Monitor,200,20,4000
Monitor,200,20,4000
Laptop,1200,20,24000
Monitor,200,20,4000
Laptop,1200,20,24000
Tablet,300,20,6000
Phone,800,20,16000
Phone,800,20,16000
Phone,800,20,16000
Monitor,200,20,4000
Monitor,200,20,4000
Phone,800,20,16000
Monitor,200,20,4000
Monitor,200,20,4000
Phone,800,20,16000
Laptop,1200,20,24000
Laptop,1200,20,24000
Tablet,300,20,6000
Monitor,200,20,4000
Phone,800,20,16000
Tablet,300,20,6000
Tablet,300,20,6000
Monitor,200,20,4000
Monitor,200,20,4000
Monitor,200,20,4000
Monitor,200,20,4000
Phone,800,20,16000
Phone,800,20,16000
Phone,800,20,16000
Tablet,300,20,6000
Monitor,200,20,4000
Laptop,1200,20,24000
Monitor,200,20,4000
Tablet,300,20,6000
Tablet,300,20,6000
Phone,800,20,16000
Tablet,300,20,6000
Phone,800,20,16000
Tablet,300,20,6000
Tablet,300,20,6000
Tablet,300,20,6000
Tablet,300,20,6000
Phone,800,20,16000
Monitor,200,20,4000
Phone,800,20,16000
Phone,800,20,16000
Phone,800,20,16000
Tablet,300,20,6000
Tablet,300,20,6000
Phone,800,20,16000
Tablet,300,20,6000
Tablet,300,20,6000
Laptop,1200,20,24000
Phone,800,20,16000
Phone,800,20,16000
Laptop,1200,20,24000
Monitor,200,20,4000
Phone,800,20,16000
Laptop,1200,20,24000
Monitor,200,20,4000
Tablet,300,20,6000
Phone,800,20,16000
Monitor,200,20,4000
Laptop,1200,20,24000
Phone,800,20,16000
Laptop,1200,20,24000
Tablet,300,20,6000
Tablet,300,20,6000
Tablet,300,20,6000
Laptop,1200,20,24000
Laptop,1200,20,24000
Tablet,300,20,6000
Laptop,1200,20,24000
Phone,800,20,16000
Monitor,200,20,4000
Phone,800,20,16000
Monitor,200,20,4000
Monitor,200,20,4000
Laptop,1200,20,24000
Tablet,300,20,6000
Laptop,1200,20,24000
Tablet,300,20,6000
Tablet,300,20,6000
Phone,800,20,16000
Phone,800,20,16000
Laptop,1200,20,24000
Laptop,1200,20,24000
Tablet,300,20,6000
Monitor,200,20,4000
Phone,800,20,16000
Laptop,1200,20,24000
Laptop,1200,20,24000
Phone,800,20,16000
Phone,800,20,16000
Monitor,200,20,4000
Phone,800,20,16000
Tablet,300,20,6000
Monitor,200,20,4000
Phone,800,20,16000
Phone,800,20,16000
Phone,800,20,16000
Laptop,1200,20,24000
Phone,800,20,16000
Tablet,300,20,6000
Laptop,1200,20,24000
Tablet,300,20,6000
Laptop,1200,20,24000
Tablet,300,20,6000
Tablet,300,20,6000
Monitor,200,20,4000
Laptop,1200,20,24000
Tablet,300,20,6000
Monitor,200,20,4000
Monitor,200,20,4000
Laptop,1200,20,24000
Monitor,200,20,4000
Monitor,200,20,4000
Tablet,300,20,6000
Monitor,200,20,4000
Tablet,300,20,6000
Phone,800,20,16000
Laptop,1200,20,24000
Laptop,1200,20,24000
Tablet,300,20,6000
Monitor,200,20,4000
Monitor,200,20,4000
Laptop,1200,20,24000
Phone,800,20,16000
Monitor,200,20,4000
Phone,800,20,16000
Phone,800,20,16000
Monitor,200,20,4000
Monitor,200,20,4000
Phone,800,20,16000
Laptop,1200,20,24000
Laptop,1200,20,24000
Tablet,300,20,6000
Monitor,200,20,4000
Phone,800,20,16000
Laptop,1200,20,24000
Phone,800,20,16000
Laptop,1200,20,24000
Phone,800,20,16000
Phone,800,20,16000
Monitor,200,20,4000
Monitor,200,20,4000
Laptop,1200,20,24000
Phone,800,20,16000
Phone,800,20,16000
Tablet,300,20,6000
Tablet,300,20,6000
Tablet,300,20,6000
Laptop,1200,20,24000
Laptop,1200,20,24000
Tablet,300,20,6000
Laptop,1200,20,24000
Phone,800,20,16000
Tablet,300,20,6000
Monitor,200,20,4000
Tablet,300,20,6000
Tablet,300,20,6000
Laptop,1200,20,24000
Laptop,1200,20,24000
Laptop,1200,20,24000
Tablet,300,20,6000
Tablet,300,20,6000
Tablet,300,20,6000
Monitor,200,20,4000
Laptop,1200,20,24000
Monitor,200,20,4000
Tablet,300,20,6000
Phone,800,20,16000
Monitor,200,20,4000
Phone,800,20,16000
Monitor,200,20,4000
Monitor,200,20,4000
Laptop,1200,20,24000
Tablet,300,20,6000
Monitor,200,20,4000
Tablet,300,20,6000
Laptop,1200,20,24000
Monitor,200,20,4000
Phone,800,20,16000
Monitor,200,20,4000
Laptop,1200,20,24000
Laptop,1200,20,24000
Phone,800,20,16000
Tablet,300,20,6000
Tablet,300,20,6000
Monitor,200,20,4000
Tablet,300,20,6000
Phone,800,20,16000
Monitor,200,20,4000
Monitor,200,20,4000
Monitor,200,20,4000
Tablet,300,20,6000
Phone,800,20,16000
Laptop,1200,20,24000
Laptop,1200,20,24000
Phone,800,20,16000
Phone,800,20,16000
Tablet,300,20,6000
Tablet,300,20,6000
Phone,800,20,16000
Phone,800,20,16000
Tablet,300,20,6000
Tablet,300,20,6000
Phone,800,20,16000
Laptop,1200,20,24000
Laptop,1200,20,24000
Laptop,1200,20,24000
Laptop,1200,20,24000
Phone,800,20,16000
Monitor,200,20,4000
Tablet,300,20,6000
Laptop,1200,20,24000
Monitor,200,20,4000
Tablet,300,20,6000
Monitor,200,20,4000
Monitor,200,20,4000
Monitor,200,20,4000
Tablet,300,20,6000
Tablet,300,20,6000
Monitor,200,20,4000
Phone,800,20,16000
Monitor,200,20,4000
Tablet,300,20,6000
Phone,800,20,16000
Phone,800,20,16000
Monitor,200,20,4000
Monitor,200,20,4000
Phone,800,20,16000
Monitor,200,20,4000
Tablet,300,20,6000
Monitor,200,20,4000
Phone,800,20,16000
