Hours,Attendance,PracticeTests,Result
7,77,5,1
4,60,0,0
11,84,0,0
8,64,4,0
5,57,4,0
7,69,0,0
10,99,5,1
3,70,5,0
7,50,0,0
11,78,5,1
11,73,4,0
8,79,0,0
5,89,4,0
4,84,5,0
8,82,5,1
8,69,3,0
3,65,1,0
6,58,1,0
5,80,4,0
2,66,0,0
8,80,1,0
6,97,5,1
2,72,2,0
5,55,0,0
1,79,4,0
10,56,5,0
6,97,5,1
9,89,2,1
1,91,4,0
11,95,0,0
11,60,5,0
10,83,3,1
3,61,5,0
7,94,3,1
4,96,3,0
9,76,0,0
3,61,0,0
5,62,2,0
3,57,5,0
7,65,0,0
5,78,0,0
9,84,2,1
7,78,2,1
2,80,5,0
4,62,4,0
9,61,1,0
2,100,5,0
10,51,1,0
9,82,4,1
10,57,3,0
5,90,5,0
2,89,0,0
4,98,2,0
7,90,5,1
8,81,2,1
3,87,3,0
1,77,2,0
4,64,3,0
2,72,4,0
8,73,3,0
4,62,1,0
2,70,5,0
6,61,3,0
6,62,5,0
10,88,4,1
4,72,3,0
6,99,4,1
2,95,1,0
10,92,0,0
2,77,4,0
10,63,0,0
4,66,4,0
8,73,3,0
7,83,0,0
9,100,4,1
8,97,5,1
5,71,4,0
2,59,0,0
5,57,5,0
8,70,4,0
10,86,0,0
9,56,1,0
9,75,2,0
1,62,1,0
9,65,0,0
7,79,3,1
9,80,3,1
8,54,2,0
1,81,0,0
8,65,5,0
8,96,4,1
11,58,1,0
3,71,5,0
1,93,1,0
8,89,2,1
3,94,2,0
3,86,2,0
1,63,5,0
11,65,5,0
5,92,2,0
10,69,5,0
7,93,2,1
10,64,5,0
9,93,2,1
7,75,4,0
9,58,4,0
8,50,1,0
2,84,1,0
1,93,2,0
7,69,1,0
7,94,5,1
8,55,2,0
5,91,4,0
3,59,3,0
8,97,4,1
6,82,0,0
11,65,4,0
3,85,0,0
1,55,1,0
3,68,4,0
5,80,3,0
3,51,5,0
1,67,4,0
5,91,5,0
10,77,4,1
7,53,4,0
7,50,5,0
11,96,5,1
9,91,2,1
10,99,4,1
10,65,4,0
3,94,3,0
7,96,5,1
1,51,5,0
4,85,0,0
4,50,0,0
5,88,5,0
7,72,3,0
7,75,1,0
11,60,4,0
4,91,1,0
7,50,3,0
11,60,1,0
3,73,0,0
6,59,2,0
2,63,1,0
10,63,2,0
9,56,1,0
5,72,3,0
6,92,2,1
4,71,1,0
11,85,3,1
10,76,5,1
7,51,0,0
9,88,4,1
7,100,3,1
1,95,3,0
1,68,0,0
9,56,2,0
11,61,1,0
9,52,2,0
4,96,3,0
9,54,5,0
3,57,1,0
7,63,4,0
6,85,4,1
8,56,1,0
11,56,3,0
9,99,5,1
5,95,0,0
1,81,5,0
3,57,2,0
10,61,5,0
8,59,5,0
11,63,2,0
6,58,0,0
8,87,0,0
9,79,4,1
4,54,0,0
1,50,1,0
1,50,4,0
10,69,3,0
4,98,4,0
7,60,5,0
2,75,5,0
3,93,4,0
1,52,2,0
5,55,0,0
1,92,5,0
8,94,5,1
1,60,1,0
11,57,0,0
1,78,5,0
2,59,2,0
2,83,5,0
6,73,0,0
7,95,1,0
5,97,0,0
1,66,2,0
1,81,1,0
3,60,0,0
2,83,2,0
5,73,2,0
10,54,4,0
6,78,5,1
7,97,1,0
4,97,1,0
7,83,5,1
11,65,0,0
8,74,4,0
11,86,1,0
1,57,2,0
6,78,1,0
8,95,4,1
5,74,5,0
4,91,3,0
2,72,5,0
6,83,2,1
6,52,1,0
11,79,5,1
1,99,2,0
9,83,0,0
11,81,2,1
6,78,1,0
3,58,0,0
4,51,0,0
11,88,0,0
4,56,3,0
3,95,3,0
10,54,0,0
3,57,5,0
3,81,5,0
4,67,5,0
7,87,1,0
4,95,0,0
9,67,5,0
1,98,0,0
8,90,2,1
7,94,5,1
2,65,2,0
8,70,2,0
1,59,5,0
11,91,4,1
9,53,2,0
9,93,5,1
2,57,2,0
7,96,1,0
10,68,3,0
3,96,3,0
7,89,3,1
10,89,4,1
9,100,0,0
4,58,2,0
1,79,1,0
2,66,4,0
1,89,3,0
5,93,4,0
5,64,1,0
11,53,5,0
7,55,4,0
9,65,3,0
9,75,0,0
3,86,3,0
3,72,3,0
3,62,3,0
4,96,4,0
8,66,1,0
6,76,3,1
8,71,5,0
1,86,4,0
8,68,1,0
4,88,0,0
11,84,3,1
1,62,2,0
8,63,4,0
4,97,5,0
6,80,0,0
8,94,0,0
4,51,0,0
3,95,4,0
9,88,1,0
3,86,2,0
9,63,5,0
2,58,1,0
2,59,3,0
2,56,2,0
6,77,1,0
3,95,3,0
9,74,2,0
4,95,4,0
1,77,5,0
4,51,5,0
1,66,3,0
5,53,1,0
4,62,2,0
8,67,3,0
8,52,3,0
7,100,4,1
3,86,3,0
1,82,2,0
1,90,0,0
11,73,2,0
3,57,2,0
6,84,4,1
7,51,4,0
6,82,5,1
6,61,5,0
6,71,3,0
3,62,5,0
6,59,4,0
8,66,3,0
11,92,0,0
11,54,1,0
2,58,4,0
5,62,4,0
1,72,0,0
1,79,4,0
5,92,5,0
3,53,5,0
4,70,5,0
3,92,0,0
1,58,3,0
1,56,4,0
5,65,4,0
6,72,5,0
3,72,3,0
9,80,4,1
5,54,2,0
8,55,0,0
1,100,1,0
5,50,2,0
3,97,1,0
1,77,2,0
4,67,2,0
5,73,2,0
7,62,0,0
1,82,1,0
3,59,3,0
2,56,3,0
9,86,5,1
10,81,4,1
6,94,0,0
10,71,5,0
3,65,5,0
8,73,0,0
8,63,0,0
2,60,2,0
6,68,0,0
7,72,3,0
2,83,0,0
11,89,2,1
10,62,1,0
2,88,5,0
10,93,0,0
1,77,5,0
8,89,1,0
1,65,4,0
9,99,2,1
11,100,5,1
6,77,0,0
7,53,4,0
10,77,4,1
7,61,1,0
10,65,5,0
3,98,5,0
2,85,3,0
9,69,3,0
8,75,3,0
10,75,5,0
7,71,5,0
9,58,3,0
4,54,2,0
