Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price
1,1182.0,2,2,1,1976,Downtown,Good,Yes,258915
2,2884.0,4,3,2,1951,Rural,Good,No,434601
3,2345.0,4,3,1,2000,Suburban,Excellent,No,446259
4,2679.0,5,4,1,1959,Suburban,Good,Yes,512233
5,1284.0,3,3,1,1968,Downtown,Good,Yes,295831
6,1614.0,3,3,1,1962,Downtown,Excellent,Yes,393582
7,1054.0,4,4,1,1997,Downtown,Good,Yes,321915
8,3021.0,4,3,1,2005,Rural,Excellent,Yes,560948
9,2459.0,3,2,1,2021,Suburban,Fair,No,427887
10,2448.0,4,4,2,2005,Suburban,Good,Yes,529640
11,1601.0,2,2,1,1999,Downtown,Fair,Yes,338028
12,2849.0,4,4,1,1994,Rural,Fair,Yes,497679
13,3563.0,5,5,2,2008,Rural,Excellent,No,620626
14,1486.0,2,1,2,1988,Downtown,Fair,Yes,312108
15,1655.0,2,2,1,1970,Downtown,Good,No,298358
16,1166.0,2,2,1,2004,Downtown,Good,Yes,302788
17,1253.0,2,1,1,2006,Downtown,Good,No,266893
18,2249.0,4,4,2,1990,Suburban,Excellent,No,458637
19,2752.0,5,5,1,2019,Suburban,Fair,Yes,582959
20,1497.0,2,2,1,1998,Downtown,Good,Yes,310821
21,2082.0,3,3,1,1993,Suburban,Excellent,Yes,428684
22,1437.0,3,3,1,1984,Downtown,Good,Yes,361272
23,1386.0,1,1,1,1954,Downtown,Excellent,No,277979
24,1718.0,1,1,1,2020,Downtown,Fair,No,391874
25,1451.0,3,3,2,2000,Suburban,Good,No,293837
26,2840.0,5,5,2,2006,Suburban,Good,No,566978
27,1334.0,4,4,1,2007,Downtown,Excellent,Yes,447925
28,2561.0,4,4,1,1985,Suburban,Excellent,Yes,482538
29,1565.0,3,3,1,1959,Suburban,Good,No,234078
30,1868.0,3,2,1,1999,Downtown,Good,Yes,426419
31,2536.0,4,3,2,1986,Suburban,Fair,No,483340
32,1754.0,4,4,2,1969,Downtown,Good,Yes,356280
33,1202.0,1,1,1,1962,Downtown,Good,Yes,236244
34,2750.0,5,5,1,1968,Rural,Excellent,No,474648
35,1890.0,5,5,1,2005,Rural,Good,Yes,415351
36,2448.0,4,4,2,1994,Rural,Good,No,433299
37,2012.0,5,5,2,2009,Downtown,Fair,No,516020
38,1919.0,3,3,2,2017,Downtown,Fair,No,389795
39,2208.0,4,4,2,2006,Suburban,Good,No,460765
40,1713.0,3,3,1,2003,Suburban,Good,Yes,382397
41,1858.0,2,1,2,1986,Downtown,Excellent,No,379281
42,2210.0,3,3,2,1986,Suburban,Good,Yes,371237
43,672.0,1,1,2,1963,Downtown,Good,Yes,181001
44,3070.0,6,5,1,1993,Rural,Fair,No,534276
45,1590.0,3,3,2,1991,Downtown,Excellent,Yes,355291
46,2801.0,5,5,2,1950,Suburban,Excellent,Yes,555363
47,1162.0,3,3,2,1972,Downtown,Fair,Yes,310751
48,612.0,1,1,2,2013,Suburban,Excellent,Yes,171765
49,2340.0,5,4,2,1977,Suburban,Good,No,479403
50,1717.0,3,3,2,1953,Downtown,Fair,Yes,373520
51,1586.0,3,3,2,1990,Rural,Good,No,281875
52,1711.0,3,2,2,2009,Suburban,Good,No,359906
53,4253.0,6,5,1,1967,Rural,Fair,No,719866
54,2417.0,4,4,1,2012,Rural,Excellent,Yes,494016
55,2565.0,5,5,1,2010,Suburban,Excellent,No,494831
56,2210.0,3,3,2,1998,Rural,Good,Yes,329189
57,764.0,1,1,2,1996,Downtown,Good,No,224893
58,1532.0,3,2,2,1988,Downtown,Good,Yes,338754
59,1494.0,2,1,1,1955,Downtown,Good,No,266507
60,1440.0,2,2,1,2002,Downtown,Good,No,372908
61,1554.0,3,3,1,1974,Downtown,Fair,Yes,330149
62,1706.0,2,2,1,2014,Downtown,Good,Yes,385327
63,2510.0,4,3,2,1954,Rural,Excellent,No,415111
64,1094.0,3,2,1,2014,Downtown,Good,Yes,312563
65,1794.0,4,3,2,1957,Downtown,Fair,No,400565
66,1225.0,3,3,2,1988,Suburban,Excellent,Yes,295518
67,780.0,1,1,1,1992,Downtown,Good,Yes,229871
68,3044.0,6,5,2,1954,Rural,Good,No,525536
69,1803.0,2,1,1,1953,Downtown,Fair,No,334707
70,2566.0,4,3,1,1950,Rural,Good,No,364719
71,1502.0,1,1,2,2005,Suburban,Excellent,Yes,248763
72,1317.0,3,3,2,1994,Downtown,Good,No,328888
73,1495.0,2,2,1,2014,Downtown,Good,Yes,337980
74,1642.0,3,2,1,1952,Rural,Excellent,No,300724
75,1830.0,2,1,1,1971,Suburban,Excellent,No,318546
76,2526.0,5,5,1,2021,Suburban,Excellent,Yes,576876
77,2914.0,5,5,2,2005,Suburban,Good,Yes,583748
78,1432.0,1,1,2,1967,Downtown,Good,Yes,264775
79,1903.0,3,3,1,1974,Downtown,Excellent,No,413894
80,834.0,1,1,2,1997,Downtown,Excellent,Yes,269416
81,2996.0,4,4,1,1980,Rural,Fair,No,480642
82,1798.0,2,2,1,1979,Suburban,Fair,Yes,310691
83,1723.0,2,2,2,2015,Downtown,Good,No,397231
84,1501.0,3,3,2,1959,Downtown,Excellent,No,300392
85,2128.0,2,2,2,2020,Downtown,Good,Yes,483265
86,1250.0,1,1,2,2008,Downtown,Good,Yes,272225
87,2514.0,4,4,2,2000,Suburban,Fair,Yes,517358
88,2060.0,3,3,1,1958,Suburban,Good,No,367556
89,2505.0,6,5,2,2003,Rural,Excellent,No,460111
90,2108.0,5,5,2,2011,Suburban,Good,Yes,483927
91,1262.0,1,1,1,1958,Downtown,Excellent,No,286858
92,2193.0,4,3,2,1958,Suburban,Excellent,Yes,421268
93,2169.0,4,4,1,1973,Suburban,Good,Yes,425652
94,2321.0,3,2,1,1988,Suburban,Good,No,392612
95,2242.0,3,2,2,1957,Suburban,Good,Yes,417773
96,2599.0,4,4,1,1974,Suburban,Excellent,Yes,500743
97,2662.0,4,4,2,2015,Suburban,Good,Yes,582823
98,1675.0,2,1,1,1959,Suburban,Good,Yes,311814
99,1948.0,4,4,2,1973,Downtown,Excellent,Yes,493166
100,1125.0,1,1,1,2008,Downtown,Good,Yes,276857
101,1835.0,2,2,1,1980,Downtown,Excellent,No,369219
102,2510.0,4,4,1,1960,Suburban,Good,Yes,479152
103,835.0,2,2,2,1955,Downtown,Fair,Yes,242202
104,2246.0,3,3,2,2019,Suburban,Good,Yes,500612
105,2319.0,5,4,2,1981,Rural,Excellent,Yes,407826
106,1296.0,1,1,1,1988,Downtown,Good,No,333506
107,2875.0,4,4,1,1997,Suburban,Excellent,No,563164
108,1873.0,3,3,1,1962,Suburban,Excellent,Yes,391998
109,1277.0,2,1,2,2008,Downtown,Good,No,273827
110,1630.0,2,2,1,2016,Downtown,Excellent,Yes,375885
111,1874.0,4,4,2,2005,Downtown,Fair,Yes,412400
112,1543.0,2,2,2,1990,Downtown,Good,Yes,386964
113,3300.0,6,5,1,2005,Rural,Fair,Yes,593495
114,2919.0,5,4,1,1984,Rural,Excellent,Yes,538927
115,1111.0,2,2,2,1987,Suburban,Good,No,218371
116,2282.0,4,4,1,2016,Rural,Fair,Yes,410095
117,2263.0,6,5,1,1983,Rural,Good,No,435212
118,1792.0,2,2,1,2019,Downtown,Good,Yes,407577
119,1025.0,1,1,2,1960,Rural,Fair,Yes,158770
120,3475.0,5,4,2,1976,Suburban,Excellent,No,610666
121,2919.0,5,4,1,1997,Rural,Excellent,Yes,538342
122,2689.0,3,2,1,1973,Rural,Good,Yes,438862
123,2073.0,3,3,1,1967,Downtown,Excellent,No,431184
124,2537.0,5,4,2,1976,Downtown,Good,No,527064
125,1948.0,3,3,1,2003,Downtown,Excellent,No,420702
126,2674.0,4,4,1,2004,Suburban,Good,No,534374
127,2678.0,4,3,2,1970,Rural,Good,No,468216
128,2515.0,5,4,2,2008,Rural,Fair,No,494153
129,1410.0,2,2,2,1983,Downtown,Excellent,Yes,334451
130,1787.0,4,4,2,2007,Suburban,Good,Yes,343331
131,1856.0,4,4,1,1997,Suburban,Fair,Yes,404521
132,1060.0,2,1,1,2003,Downtown,Fair,Yes,268630
133,1570.0,3,3,1,1967,Downtown,Good,No,313917
134,926.0,2,2,1,1952,Downtown,Good,No,187900
135,2715.0,5,5,2,1973,Rural,Excellent,Yes,489764
136,1585.0,2,1,2,1950,Downtown,Excellent,Yes,329156
137,2273.0,3,3,2,1955,Suburban,Fair,No,356912
138,1939.0,2,1,1,1968,Suburban,Excellent,Yes,352290
