

Age,Workclass,Education,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Native Country,Income Level
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,6000,0,40,United-States,1
31,Self-emp-not-inc,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,0,30,United-States,0
52,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,45,United-States,0
38,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,8000,0,50,United-States,1
26,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,0,1500,30,United-States,0
35,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,1
49,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,1
23,Private,HS-grad,Divorced,Adm-clerical,Own-child,White,Female,0,0,35,United-States,0
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,1
31,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,15000,0,50,United-States,1
40,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
36,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,1
22,Private,Some-college,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,0
43,Private,11th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,United-States,0
54,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,1
41,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
29,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
52,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
37,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
33,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,0
40,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,1
54,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
32,Private,10th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
51,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
29,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,0,0,50,United-States,0
31,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
47,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,0
33,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,1
39,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
39,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
32,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
50,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
49,Private,Assoc-acdm,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,1
33,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
42,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
31,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,1
48,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
49,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
29,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
